1,Konnor Griffin,SS/OF,Pittsburgh Pirates,AA,2027,19,"6' 4"" / 225 lbs",R,R
2,Kevin McGonigle,SS,Detroit Tigers,AA,2026,21,"5' 10"" / 187 lbs",L,R
3,Leo De Vries,SS,Athletics,AA,2027,19,"6' 1"" / 183 lbs",S,R
4,Jesús Made,SS/2B,Milwaukee Brewers,AA,2028,18,"6' 1"" / 187 lbs",S,R
5,JJ Wetherholt,SS/2B/3B,St. Louis Cardinals,AAA,2026,23,"5' 10"" / 190 lbs",L,R
6,Sebastian Walcott,SS/3B,Texas Rangers,AA,2026,19,"6' 4"" / 190 lbs",R,R
7,Samuel Basallo,C/1B,Baltimore Orioles,MLB,2025,21,"6' 4"" / 180 lbs",L,R
8,Max Clark,OF,Detroit Tigers,AA,2027,21,"6' 0"" / 205 lbs",L,L
9,Colt Emerson,SS/3B,Seattle Mariners,AAA,2026,20,"6' 0"" / 195 lbs",L,R
10,Walker Jenkins,OF,Minnesota Twins,AAA,2026,20,"6' 3"" / 210 lbs",L,R
11,Nolan McLean,RHP,New York Mets,MLB,2025,24,"6' 2"" / 214 lbs",R,R
12,Bryce Eldridge,1B,San Francisco Giants,MLB,2026,21,"6' 7"" / 240 lbs",L,R
13,Josue De Paula,OF,Los Angeles Dodgers,AA,2026,20,"6' 3"" / 185 lbs",L,L
14,Bubba Chandler,RHP,Pittsburgh Pirates,MLB,2025,23,"6' 3"" / 218 lbs",S,R
15,Eli Willits,SS,Washington Nationals,A,2029,18,"6' 1"" / 180 lbs",S,R
16,Andrew Painter,RHP,Philadelphia Phillies,MLB,2025,22,"6' 7"" / 215 lbs",R,R
17,Travis Bazzana,2B,Cleveland Guardians,AAA,2026,23,"6' 0"" / 199 lbs",L,R
18,Luis Peña,INF,Milwaukee Brewers,A+,2028,19,"5' 11"" / 185 lbs",R,R
19,Ethan Holliday,SS,Colorado Rockies,A,2029,18,"6' 4"" / 210 lbs",L,R
20,Zyhir Hope,OF,Los Angeles Dodgers,AA,2027,20,"5' 10"" / 193 lbs",L,L
21,Carson Benge,OF,New York Mets,AAA,2026,22,"6' 1"" / 184 lbs",L,R
22,Thomas White,LHP,Miami Marlins,AAA,2026,21,"6' 5"" / 240 lbs",L,L
23,Kade Anderson,LHP,Seattle Mariners,ROK,2027,21,"6' 2"" / 179 lbs",L,L
24,Franklin Arias,SS,Boston Red Sox,AA,2027,20,"5' 11"" / 170 lbs",R,R
25,George Lombard Jr.,SS/2B,New York Yankees,AA,2027,20,"6' 2"" / 190 lbs",R,R
26,Trey Yesavage,RHP,Toronto Blue Jays,MLB,2025,22,"6' 4"" / 225 lbs",R,R
27,Seth Hernandez,RHP,Pittsburgh Pirates,ROK,2028,19,"6' 4"" / 190 lbs",R,R
