upid,mlb_id,yahoo_id,manager,name,season,stat_source,stat_type,fg_war,fg_woba,fg_wrc_plus,fg_iso,fg_babip,fg_spd,fg_off,fg_bsr,fg_bb_pct,fg_k_pct,fg_o_swing_pct,fg_z_swing_pct,fg_swstr_pct,fg_gb_pct,fg_fb_pct,fg_ld_pct,fg_pull_pct,fg_hard_pct,fg_barrel_pct,fg_fip,fg_xfip,fg_siera,fg_k_bb_pct,fg_lob_pct,fg_hr_fb,fg_sl_pct,fg_ch_pct
1886,,9877,TROU,Aaron Judge,2024,fangraphs,batting,11.3,0.476,220.0,0.379,0.367,3.9,96.0,-0.5,0.18899999999999997,0.243,0.213,0.7190000000000001,0.121,0.305,0.462,0.233,0.4,0.47700000000000004,0.26899999999999996,,,,,,,,
1886,,9877,TROU,Aaron Judge,2022,fangraphs,batting,11.1,0.458,206.0,0.375,0.34,4.0,84.2,1.0,0.159,0.251,0.268,0.6759999999999999,0.11800000000000001,0.373,0.435,0.193,0.475,0.48,0.262,,,,,,,,
1886,,9877,TROU,Aaron Judge,2025,fangraphs,batting,10.1,0.463,204.0,0.357,0.376,4.6,79.5,-4.1,0.183,0.23600000000000002,0.257,0.703,0.141,0.34,0.46399999999999997,0.196,0.366,0.456,0.247,,,,,,,,
1909,,10626,WIZ,Juan Soto,2024,fangraphs,batting,8.3,0.421,181.0,0.281,0.298,4.3,62.2,-3.9,0.18100000000000002,0.16699999999999998,0.213,0.601,0.07400000000000001,0.436,0.36,0.204,0.451,0.43,0.19699999999999998,,,,,,,,
1877,,8658,CASC,Freddie Freeman,2023,fangraphs,batting,7.7,0.411,161.0,0.235,0.37,6.0,59.7,4.5,0.099,0.166,0.301,0.792,0.094,0.353,0.37,0.276,0.365,0.369,0.111,,,,,,,,
2483,,9116,BATI,Francisco Lindor,2024,fangraphs,batting,7.7,0.363,137.0,0.227,0.295,5.7,34.4,4.0,0.081,0.184,0.305,0.715,0.10300000000000001,0.345,0.43200000000000005,0.223,0.45299999999999996,0.366,0.136,,,,,,,,
1879,,9552,DRO,Mookie Betts,2023,fangraphs,batting,7.6,0.416,165.0,0.272,0.316,4.5,56.5,0.7,0.139,0.154,0.2,0.63,0.057,0.278,0.485,0.237,0.46299999999999997,0.41100000000000003,0.124,,,,,,,,
1880,,9105,PLAY,Nolan Arenado,2022,fangraphs,batting,7.2,0.381,149.0,0.241,0.29,2.6,35.5,0.1,0.084,0.11599999999999999,0.361,0.68,0.086,0.297,0.499,0.204,0.479,0.319,0.08199999999999999,,,,,,,,
1963,,9111,HURL,Manny Machado,2022,fangraphs,batting,7.1,0.382,152.0,0.234,0.337,4.3,38.5,-0.4,0.098,0.207,0.342,0.77,0.11800000000000001,0.37799999999999995,0.41600000000000004,0.20600000000000002,0.41200000000000003,0.38,0.098,,,,,,,,
1907,,8996,ANGE,Jose Altuve,2022,fangraphs,batting,6.9,0.397,164.0,0.233,0.315,5.0,44.1,0.4,0.109,0.14400000000000002,0.314,0.65,0.068,0.41,0.387,0.204,0.519,0.302,0.077,,,,,,,,
1970,,8967,ANGE,Paul Goldschmidt,2022,fangraphs,batting,6.8,0.419,175.0,0.26,0.368,3.6,58.0,0.9,0.121,0.217,0.276,0.617,0.099,0.40299999999999997,0.408,0.18899999999999997,0.377,0.337,0.115,,,,,,,,
1877,,8658,CASC,Freddie Freeman,2022,fangraphs,batting,6.8,0.393,157.0,0.186,0.359,4.8,48.9,1.7,0.11900000000000001,0.14400000000000002,0.313,0.7609999999999999,0.083,0.387,0.33799999999999997,0.275,0.364,0.369,0.099,,,,,,,,
1889,,9718,WIZ,J.T. Realmuto,2022,fangraphs,batting,6.7,0.354,129.0,0.202,0.318,6.9,22.2,3.5,0.073,0.212,0.35,0.6920000000000001,0.114,0.444,0.359,0.19699999999999998,0.392,0.344,0.113,,,,,,,,
1885,,10056,ANGE,Trea Turner,2025,fangraphs,batting,6.7,0.352,125.0,0.153,0.35,7.2,26.7,8.0,0.067,0.16699999999999998,0.34700000000000003,0.752,0.11800000000000001,0.479,0.32899999999999996,0.192,0.39899999999999997,0.32899999999999996,0.057999999999999996,,,,,,,,
1893,,9605,HURL,Matt Olson,2023,fangraphs,batting,6.6,0.413,162.0,0.321,0.302,3.1,55.1,0.2,0.14400000000000002,0.23199999999999998,0.295,0.735,0.11900000000000001,0.387,0.436,0.17800000000000002,0.382,0.42700000000000005,0.16399999999999998,,,,,,,,
1942,,10234,JESÚ,Dansby Swanson,2022,fangraphs,batting,6.6,0.337,117.0,0.17,0.348,4.8,17.3,3.7,0.07,0.261,0.314,0.746,0.139,0.387,0.4,0.212,0.39799999999999996,0.34,0.10800000000000001,,,,,,,,
1964,,9517,PLAY,Marcus Semien,2023,fangraphs,batting,6.5,0.354,128.0,0.201,0.291,5.5,26.5,1.3,0.096,0.146,0.253,0.77,0.078,0.33799999999999997,0.465,0.196,0.494,0.344,0.065,,,,,,,,
1989,,10883,PLAY,Yordan Alvarez,2022,fangraphs,batting,6.4,0.427,185.0,0.306,0.32,3.0,51.9,-2.0,0.139,0.18899999999999997,0.275,0.6679999999999999,0.09,0.391,0.39399999999999996,0.21600000000000003,0.39399999999999996,0.442,0.21,,,,,,,,
1941,,9584,GANG,Corey Seager,2023,fangraphs,batting,6.4,0.419,173.0,0.296,0.34,2.4,43.8,-2.8,0.091,0.16399999999999998,0.336,0.855,0.126,0.4,0.397,0.203,0.415,0.484,0.152,,,,,,,,
1885,,10056,ANGE,Trea Turner,2022,fangraphs,batting,6.4,0.35,128.0,0.169,0.342,6.4,29.6,6.6,0.064,0.185,0.364,0.745,0.128,0.429,0.35700000000000004,0.214,0.45399999999999996,0.315,0.076,,,,,,,,
