upid,name,manager,contract,mlb_id,player_type,rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev,atBats,doubles,triples,obp,ops,slg,rbi,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position
3930,Brandon Sproat,Andromedans,Purchased Contract,687075,pitcher,5,nym,25,121.0,687075,Brandon Sproat,30.0,1.24,141.2,115,73,68.0,60,130,9,425.0,596.0,,4.32,0.0,0.0,0.0,8.0,8.0,ALL (2),,,,,,,,,,,,,
3495,Nick Yorke,Andromedans,Purchased Contract,694377,batter,12,pit,23,,694377,Nick Yorke,,,,131,62,,39,112,8,,,,,,,,,,ALL (2),470.0,24.0,3.0,0.336,0.73,0.394,67.0,18.0,6.0,212.0,185.0,0.279,2B
3997,Marc Church,Andromedans,Purchased Contract,687847,pitcher,25,tex,24,140.0,687847,Marc Church,13.0,2.67,12.0,17,10,10.0,15,15,1,36.0,67.0,,7.5,0.0,2.0,1.0,0.0,1.0,ALL (4),,,,,,,,,,,,,
6649,Thayron Liranzo,Andromedans,Purchased Contract,699073,batter,5,det,22,,699073,Thayron Liranzo,,,,70,49,,47,125,11,,,,,,,,,,AA,339.0,16.0,0.0,0.308,0.659,0.351,45.0,0.0,0.0,181.0,119.0,0.206,C
7635,Zyhir Hope,Andromedans,Development Cont.,814307,batter,2,la,20,,814307,Zyhir Hope,,,,122,69,,79,143,13,,,,,,,,,,ALL (2),458.0,29.0,3.0,0.376,0.804,0.428,80.0,27.0,6.0,249.0,196.0,0.266,CF
7709,Jurrangelo Cijntje,Andromedans,Farm Contract,701388,pitcher,7,sea,22,136.0,701388,Jurrangelo Cijntje,26.0,1.22,108.1,81,50,48.0,51,120,15,325.0,459.0,,3.99,0.0,0.0,0.0,5.0,7.0,ALL (2),,,,,,,,,,,,,
7743,Jonathon Long,Andromedans,Purchased Contract,675085,batter,7,chc,23,,675085,Jonathon Long,,,,157,86,,79,116,20,,,,,,,,,,AAA,514.0,23.0,3.0,0.404,0.883,0.479,91.0,2.0,0.0,225.0,246.0,0.305,1B
2436,Edwin Arroyo,Btwn2Jackies,Farm Contract,695490,batter,8,cin,22,,695490,Edwin Arroyo,,,,132,63,,40,88,3,,,,,,,,,,AA,464.0,23.0,4.0,0.345,0.716,0.371,44.0,12.0,7.0,153.0,172.0,0.284,SS
3579,Miguel Bleis,Btwn2Jackies,Purchased Contract,694194,batter,13,bos,21,,694194,Miguel Bleis,,,,88,58,,41,106,14,,,,,,,,,,ALL (2),397.0,21.0,1.0,0.3,0.685,0.385,51.0,27.0,6.0,175.0,153.0,0.222,OF
3790,Moises Ballesteros,Btwn2Jackies,Purchased Contract,694208,batter,2,chc,22,,694208,Moises Ballesteros,,,,158,74,,58,79,15,,,,,,,,,,ALL (2),503.0,31.0,2.0,0.386,0.859,0.473,87.0,5.0,2.0,223.0,238.0,0.314,C
