UPID,Rank,Player,Team,Position,School,Level,eta,Age,Height / Weight,Bats,Throws,FV,composite score
7999,1,Wandy Asigen,NYM,SS,,,,,,,,47.5,14.28571429
8015,2,Angeibel Gomez,KCR,RF,,,,,,,,45,14.28571429
7941,3,Kade Anderson,SEA,LHP,Louisiana State,ROK,2027,21,"6' 2"" / 179 lbs",L,L,50,16.42857143
7942,4,Seth Hernandez,PIT,RHP,Corona (CA),ROK,2028,19,"6' 4"" / 190 lbs",R,R,47.5,16.42857143
7943,5,Jamie Arnold,ATH,LHP,Florida State,ROK,2027,21,"6' 1"" / 188 lbs",L,L,45,16.42857143
8084,6,Johenssy Colome,ATH,3B,,,,,,,,45,17.14285714
7940,7,Ethan Holliday,COL,SS,Stillwater (OK),A,2029,18,"6' 4"" / 210 lbs",L,R,55,20.71428571
8111,8,Francisco Renteria,PHI,LF,,,,,,,,45,18.57142857
8168,9,Victor Valdez,TBR,2B,,,,,,,,45,19.28571429
8190,10,Randy Santana,DET,CF,,,,,,,,42.5,19.28571429
7944,11,Eli Willits,WSN,SS,Fort Cobb-Broxton (OK),A,2029,18,"6' 1"" / 180 lbs",S,R,50,22.14285714
8191,12,AngelNuñez Jr.,CIN,CF,,,,,,,,42.5,20.71428571
7945,13,Aiva Arquette,MIA,SS,Oregon State,A+,2028,22,"6' 5"" / 220 lbs",R,R,50,23.57142857
7946,14,Billy Carlson,CHW,SS,Corona (CA),ROK,2029,19,"6' 1"" / 185 lbs",R,R,47.5,23.57142857
8192,15,Jose Luis Acevedo,BAL,SS,,,,,,,,42.5,22.85714286
7948,16,JoJo Parker,TOR,SS,Purvis (MS),ROK,2029,19,"6' 2"" / 200 lbs",L,R,45,24.28571429
8193,17,Manuel Bolivar,DET,C,,,,,,,,42.5,24.28571429
8194,18,Juan Caricote,TOR,C,,,,,,,,42.5,25
7951,19,Steele Hall,CIN,SS,Hewitt-Trussville (AL),ROK,2029,18,"6' 0"" / 180 lbs",R,R,42.5,25.71428571
8195,20,Isaias Suarez,WSN,CF,,,,,,,,42.5,26.42857143
7947,21,Liam Doyle,STL,LHP,Tennessee,AA,2027,21,"6' 2"" / 220 lbs",R,L,55,30.71428571
7949,22,Kyson Witherspoon,BOS,RHP,Oklahoma,ROK,2027,21,"6' 2"" / 206 lbs",R,R,50,30
7950,23,Ike Irish,BAL,C/OF,Auburn,A,2028,22,"6' 2"" / 201 lbs",L,R,47.5,30
7952,24,Daniel Pierce,TBR,SS,Mill Creek (GA),ROK,2029,19,"6' 0"" / 185 lbs",R,R,42.5,29.28571429
8196,25,Samil Serrano,WSN,LF,,,,,,,,42.5,30
8197,26,Albert Fermin,HOU,3B,,,,,,,,42.5,30.71428571
8198,27,Ariel Roque,BAL,CF,,,,,,,,42.5,31.42857143
7954,28,Marek Houston,MIN,SS,Wake Forest,A+,2028,21,"6' 3"" / 205 lbs",R,R,45,32.85714286
7955,29,Brendan Summerhill,TBR,OF,Arizona,A,2028,22,"6' 3"" / 200 lbs",L,R,42.5,32.85714286
8199,30,Oscar Tineo,DET,SS,,,,,,,,42.5,33.57142857
7953,31,Kayson Cunningham,ARI,SS,Johnson (TX),A,2029,19,"5' 10"" / 182 lbs",L,R,50,36.42857143
8200,32,Juan Rijo,SEA,CF,,,,,,,,42.5,35
8201,33,Edelson Cabral,ATL,SS,,,,,,,,42.5,35.71428571
7956,34,Wehiwa Aloy,BAL,SS,Arkansas,A,2028,21,"6' 2"" / 200 lbs",R,R,47.5,37.85714286
7958,35,Kruz Schoolcraft,SDP,LHP,Sunset (OR),A,2029,18,"6' 8"" / 229 lbs",L,L,42.5,37.14285714
8202,36,Fabricio Blanco,TBR,2B,,,,,,,,42.5,37.85714286
8203,37,Jeancer Custodio,PIT,RF,,,,,,,,40,37.85714286
8204,38,Enmanuel Luna,STL,OF,,,,,,,,40,38.57142857
7957,39,Tyler Bremner,LAA,RHP,UC Santa Barbara,ROK,2026,21,"6' 2"" / 190 lbs",R,R,50,42.14285714
7959,40,Jace LaViolette,CLE,OF,Texas A&M,ROK,2028,22,"6' 6"" / 230 lbs",L,L,45,41.42857143
8205,41,Elian Rosario,TEX,RF,,,,,,,,40,40.71428571
7960,42,Gavin Kilen,SFG,2B/SS,Tennessee,A,2028,21,"5' 11"" / 187 lbs",L,R,45,42.85714286
7961,43,Gavin Fien,TEX,SS,Great Oak (CA),A,2029,18,"6' 3"" / 200 lbs",R,R,42.5,42.85714286
8206,44,Pedro Gomez,BAL,RF,,,,,,,,40,42.85714286
8207,45,Rubel Arias,LAD,CF,,,,,,,,40,43.57142857
7962,46,Gage Wood,PHI,RHP,Arkansas,A,2028,22,"6' 0"" / 205 lbs",R,R,45,45.71428571
7963,47,Slater de Brun,BAL,OF,Summit (OR),ROK,2029,18,"5' 10"" / 187 lbs",L,L,42.5,45.71428571
8208,48,Santiago Solarte,MIA,3B,,,,,,,,40,45.71428571
8209,49,Enmanuel Merlo,MIN,3B,,,,,,,,40,46.42857143
7981,50,Zachary Root,,LHP,Arkansas,ROK,2028,21,"6' 2"" / 210 lbs",L,L,0,35.71428571
7964,51,Xavier Neyens,HOU,SS,Mount Vernon (WA),ROK,2029,19,"6' 4"" / 210 lbs",L,R,45,49.28571429
7965,52,Josh Hammond,KCR,3B,Wesleyan Christian (NC),ROK,2029,19,"6' 1"" / 210 lbs",R,R,42.5,49.28571429
7966,53,Sean Gamble,KCR,OF/2B,IMG Academy (FL),ROK,2029,19,"6' 1"" / 188 lbs",L,R,42.5,50
8210,54,Fernando Graterol,CHW,C,,,,,,,,40,50
8211,55,Yeison Horton,LAA,SS,,,,,,,,40,50.71428571
8212,56,Diego Frontado,MIL,SS,,,,,,,,37.5,50.71428571
7967,57,Ethan Conrad,CHC,OF,Wake Forest,ROK,2028,21,"6' 3"" / 220 lbs",L,L,45,53.57142857
8213,58,Ruben Gallego,ARI,SS,,,,,,,,37.5,52.14285714
7968,59,Andrew Fischer,MIL,3B/1B,Tennessee,A+,2027,21,"6' 1"" / 210 lbs",L,R,45,55
8214,60,Garielvin Silverio,BOS,LF,,,,,,,,37.5,53.57142857
7969,61,Devin Taylor,ATH,OF,Indiana,A,2028,22,"6' 1"" / 215 lbs",L,R,45,56.42857143
7970,62,Patrick Forbes,ARI,RHP,Louisville,ROK,2028,21,"6' 3"" / 220 lbs",R,R,42.5,56.42857143
8215,63,Gabriel Rosario,BAL,LF,,,,,,,,37.5,55.71428571
8216,64,Sebastian Romero,CHW,LF,,,,,,,,37.5,56.42857143
7971,65,Caden Bodine,BAL,C,Coastal Carolina,A,2028,22,"5' 10"" / 200 lbs",S,R,45,59.28571429
7972,66,Luke Stevenson,SEA,C,North Carolina,A,2028,21,"6' 1"" / 200 lbs",L,R,42.5,59.28571429
7973,67,Max Belyeu,COL,OF,Texas,A+,2028,22,"6' 2"" / 215 lbs",L,R,40,59.28571429
8217,68,Carlos Castillo,LAA,OF,,,,,,,,37.5,59.28571429
7974,69,Mason Neville,CIN,OF,Oregon,A,2028,22,"6' 3"" / 210 lbs",L,L,40,60.71428571
8218,70,Richard De Los Santos,COL,3B,,,,,,,,37.5,60.71428571
8219,71,Rickey Moneys,MIL,3B,,,,,,,,37.5,61.42857143
8220,72,Carlos Carrion,STL,3B,,,,,,,,37.5,62.14285714
7975,73,Cam Cannarella,MIA,OF,Clemson,A+,2028,22,"6' 0"" / 185 lbs",L,R,45,65
7976,74,Quentin Young,MIN,SS,Oaks Christian (CA),A,2029,18,"6' 6"" / 225 lbs",R,R,42.5,65
8221,75,Jose Mañon,ATL,SS,,,,,,,,37.5,64.28571429
7977,76,Riley Quick,MIN,RHP,Alabama,ROK,2028,21,"6' 6"" / 255 lbs",R,R,42.5,66.42857143
8222,77,Gregory Pio,SEA,CF,,,,,,,,37.5,65.71428571
7978,78,Tate Southisene,ATL,SS/OF,Basic (NV),A,2029,19,"5' 11"" / 180 lbs",R,R,42.5,67.85714286
8223,79,Joniel Hernandez,SDP,SS,,,,,,,,37.5,67.14285714
7979,80,Anthony Eyanson,BOS,RHP,Louisiana State,ROK,2028,21,"6' 2"" / 208 lbs",R,R,42.5,69.28571429
7980,81,JB Middleton,COL,RHP,Southern Mississippi,ROK,2028,22,"6' 0"" / 178 lbs",R,R,40,69.28571429
8224,82,Kendri Faña,LAA,RHP,,,,,,,,37.5,69.28571429
8225,83,Ricky Duran,ATH,3B,,,,,,,,37.5,70
7997,84,Cameron Appenzeller,,LHP,Glenwood (IL),-,-,18,"6' 6"" / 180 lbs",L,L,0,60
7982,85,Alex Lodise,ATL,SS,Florida State,A+,2028,21,"6' 1"" / 190 lbs",R,R,40,72.14285714
8226,86,Randy Arias,HOU,SS,,,,,,,,37.5,72.14285714
8227,87,Angel Ramirez,WSN,OF,,,,,,,,37.5,72.85714286
7983,88,Jack Bauer,,LHP,Lincoln-Way East (IL),-,-,19,"6' 3"" / 190 lbs",L,L,42.5,75
8228,89,Ronny Muñoz Aleman,MIA,3B,,,,,,,,37.5,74.28571429
7984,90,Aaron Watson,CIN,RHP,Trinity Christian (FL),ROK,2029,19,"6' 5"" / 205 lbs",R,R,42.5,76.42857143
8229,91,Jean Paredes,TBR,CF,,,,,,,,37.5,75.71428571
7986,92,Brandon Compton,MIA,OF,Arizona State,A+,2028,22,"6' 1"" / 225 lbs",L,L,40,77.14285714
8230,93,Wilton Guerrero Jr.,PIT,SS,,,,,,,,37.5,77.14285714
7985,94,Matthew Fisher,PHI,RHP,Memorial (IN),ROK,2029,19,"6' 3"" / 200 lbs",R,R,45,80
8231,95,Jaider Suarez,KCR,SS,,,,,,,,37.5,78.57142857
8232,96,Starling De La Cruz,ATL,CF,,,,,,,,37.5,79.28571429
7987,97,Landon Harmon,WSN,RHP,East Union (MS),ROK,2029,19,"6' 5"" / 190 lbs",R,R,45,82.14285714
8233,98,Cleiner Ramirez,NYM?,OF,,,,,,,,37.5,80.71428571
8234,99,Juan Duran,WSN,RF,,,,,,,,35,80.71428571
8005,100,J.D. Thompson,,LHP,Vanderbilt,ROK,2028,22,"6' 0"" / 199 lbs",R,L,0,71.42857143
7988,101,Angel Cervantes,PIT,RHP,Warren (CA),-,-,18,"6' 3"" / 195 lbs",R,R,45,85
7989,102,Jordan Yost,DET,SS,Sickles (FL),ROK,2029,19,"6' 0"" / 170 lbs",L,R,42.5,85
8235,103,Diego Serna,SDP,SP,,,,,,,,35,83.57142857
7990,104,Nick Becker,SEA,SS,Don Bosco Prep (NJ),A,2029,19,"6' 4"" / 190 lbs",R,R,42.5,86.42857143
8236,105,Yadier Muñoz,CHC,SS,,,,,,,,35,85
7991,106,Alec Blair,,OF,De La Salle (CA),-,-,19,"6' 6"" / 195 lbs",L,L,42.5,87.85714286
7992,107,Cade Obermueller,PHI,LHP,Iowa,ROK,2028,22,"6' 0"" / 170 lbs",L,L,40,87.85714286
8237,108,DawvrisBrito,BOS,SS,,,,,,,,35,87.14285714
7993,109,Charles Davalan,LAD,OF,Arkansas,A,2028,22,"5' 9"" / 190 lbs",L,R,42.5,90
8238,110,Jaims Martinez,CHC,SS,,,,,,,,35,88.57142857
8010,111,Zach Strickland,,RHP,Maranatha (CA),-,-,19,"6' 2"" / 180 lbs",S,R,0,79.28571429
7994,112,Ryan Mitchell,STL,OF/INF,Houston (TN),ROK,2029,18,"6' 2"" / 185 lbs",L,R,42.5,92.14285714
8239,113,Douglas Olivo,DET,CF,,,,,,,,35,90.71428571
7995,114,Dean Moss,TBR,OF,IMG Academy (FL),ROK,2029,19,"6' 0"" / 180 lbs",L,R,42.5,93.57142857
8240,115,Ismael Contreras,COL,RHP,,,,,,,,35,92.14285714
7996,116,Jaden Fauske,CHW,OF,Nazareth Academy (IL),ROK,2029,19,"6' 3"" / 200 lbs",L,R,42.5,95
7998,117,Ethan Petry,WSN,OF/1B,South Carolina,A,2028,21,"6' 4"" / 235 lbs",R,R,40,95
