FBP_Team,manager,name,team,position,player_type,contract_type,status,years_simple,yahoo_id,upid
DRO,Andromedans,Aaron Judge,NYY,CF,MLB,Keeper Contract,[0] FC2,FC 2,9877,1886
DRO,Andromedans,Juan Soto,NYM,OF,MLB,Keeper Contract,[0] FC2,FC 2,10626,1909
DRO,Andromedans,Austin Riley,ATL,"1B,3B,OF",MLB,Keeper Contract,[1] FC1,FC 1,10420,1927
WIZ,Whiz Kids,George Springer,TOR,CF,MLB,Keeper Contract,[5] TC1,TC 1,9339,1950
DRO,Andromedans,Sean Manaea,NYM,P,MLB,Keeper Contract,[5] TC1,TC 1,9582,1978
DRO,Andromedans,Adrian Morejon,SD,RP,MLB,Keeper Contract,[5] TC1,TC 1,,2025
DRO,Andromedans,Brandon Sproat,NYM,RHP,Farm,Purchased Contract,[5] TC1,TC 1,,3930
DRO,Andromedans,Clay Holmes,NYM,RP,MLB,Keeper Contract,[5] TC1,TC 1,,2278
DRO,Andromedans,Edwin Díaz,LAD,P,MLB,Keeper Contract,[3] VC1,VC 1,10214,2437
DRO,Andromedans,Francisco Lindor,NYM,SS,MLB,Keeper Contract,[2] VC2,VC 2,9116,2483
DRO,Andromedans,Gavin Sheets,CWS,"1B,OF",MLB,,[5] TC1,TC 1,,2501
DRO,Andromedans,Gavin Williams,CLE,SP,MLB,Keeper Contract,[5] TC1,TC 1,,2502
DRO,Andromedans,Maddux Bruns,LAD,LHP,Farm,Development Cont.,[7] P,P,,2919
DRO,Andromedans,Triston Casas,BOS,1B,MLB,Keeper Contract,[3] VC1,VC 1,,3447
DRO,Andromedans,Matt McLain,CIN,"2B, SS",MLB,Keeper Contract,[4] TC2,TC 2,,2952
DRO,Andromedans,Robert Hassell III,WSH,OF,Farm,Purchased Contract,[7] P,P,,3455
DRO,Andromedans,Cade Cavalli,WSH,RHP,Farm,Purchased Contract,[7] P,P,,3477
DRO,Andromedans,Sal Frelick,MIL,CF,MLB,Keeper Contract,[5] TC1,TC 1,,3479
DRO,Andromedans,Nick Yorke,PIT,2B,Farm,Purchased Contract,[7] P,P,,3495
DRO,Andromedans,Austin Wells,NYY,C,MLB,Keeper Contract,[5] TC1,TC 1,,3502
DRO,Andromedans,Hunter Brown,HOU,SP,MLB,Keeper Contract,[4] TC2,TC 2,,3514
DRO,Andromedans,Slade Cecconi,AZ,SP,Farm,,[7] P,P,,3538
DRO,Andromedans,Heston Kjerstad,BAL,OF,MLB,Keeper Contract,[5] TC1,TC 1,,3562
DRO,Andromedans,Spencer Steer,CIN,"1B, OF",MLB,Keeper Contract,[4] TC2,TC 2,,3605
DRO,Andromedans,Reese Olson,DET,SP,MLB,Keeper Contract,[5] TC1,TC 1,,3643
DRO,Andromedans,Mark Vientos,NYM,3B,MLB,Keeper Contract,[4] TC2,TC 2,,3732
DRO,Andromedans,Luis Robert,CWS,CF,MLB,Keeper Contract,[5] TC1,TC 1,,2907
DRO,Andromedans,Marc Church,TEX,RHP,Farm,Purchased Contract,[7] P,P,,3997
RV,Rick Vaughn,Félix Bautista,BAL,RP,MLB,Keeper Contract,[4] TC2,TC 2,,4026
DRO,Andromedans,Camilo Doval,SF,RP,MLB,Keeper Contract,[5] TC1,TC 1,,4028
DRO,Andromedans,Tommy Kahnle,DET,RP,MLB,Keeper Contract,[5] TC1,TC 1,,4178
DRO,Andromedans,Spencer Arrighetti,HOU,SP,MLB,Keeper Contract,[5] TC1,TC 1,,4594
DRO,Andromedans,Yilber Diaz,AZ,RHP,Farm,Farm Contract,[7] P,P,,4668
DRO,Andromedans,Ben Rice,NYY,C,MLB,Keeper Contract,[5] TC1,TC 1,,5891
DRO,Andromedans,Agustin Ramirez,MIA,C,MLB,Keeper Contract,[6] TCR,TC R,,5996
DRO,Andromedans,Ryan Ritter,COL,SS,Farm,Purchased Contract,[7] P,P,,6035
DRO,Andromedans,Joe Boyle,OAK,RHP,Farm,,[7] P,P,,6069
DRO,Andromedans,Thayron Liranzo,DET,C,Farm,Purchased Contract,[7] P,P,,6649
DRO,Andromedans,Raisel Iglesias,ATL,P,MLB,Keeper Contract,[4] TC2,TC 2,9902,1916
