change_type,yahoo_id,name,team,position,player_type,old_manager,new_manager
removed,7048,Adam Wainwright,STL,P,MLB,Whiz Kids,
removed,7257,Zack Greinke,KC,P,MLB,BATI,
removed,7345,Yadier Molina,STL,C,MLB,BATI,
removed,7578,Rich Hill,KC,P,MLB,TROU,
removed,7590,Justin Verlander,SF,P,MLB,TROU,
removed,7681,Nelson Cruz,SD,Util,MLB,GANG,
removed,7790,Jon Lester,STL,P,MLB,GANG,
removed,7914,Evan Longoria,AZ,3B,MLB,Weekend Warriors,
removed,7946,Joey Votto,TOR,1B,MLB,Whiz Kids,
removed,8099,Ian Kennedy,TEX,P,MLB,TROU,
removed,8176,Jake McGee,SF,P,MLB,Rick Vaughn,
removed,8180,Clayton Kershaw,LAD,P,MLB,TROU,Btwn2Jackies
added,8180,Clayton Kershaw,LAD,P,MLB,TROU,Btwn2Jackies
removed,8185,Carlos Carrasco,ATL,P,MLB,BATI,
removed,8193,Max Scherzer,TOR,P,MLB,Rick Vaughn,
removed,8270,Charlie Morton,ATL,P,MLB,Btwn2Jackies,
removed,8458,Mark Melancon,AZ,P,MLB,CASC,
removed,8480,Craig Stammen,SD,P,MLB,BATI,
removed,8562,Stephen Strasburg,WSH,P,MLB,Whiz Kids,
removed,8578,Buster Posey,SF,"C,1B",MLB,PLAY,
removed,8588,Justin Turner,CHC,3B,MLB,Andromedans,
removed,8616,Aroldis Chapman,BOS,P,MLB,Andromedans,Whiz Kids
added,8616,Aroldis Chapman,BOS,P,MLB,Andromedans,Whiz Kids
removed,8619,Carlos Santana,CHC,1B,MLB,TROU,
removed,8622,Craig Kimbrel,HOU,P,MLB,Rick Vaughn,
removed,8623,Jake Arrieta,CHC,P,MLB,TROU,
removed,8634,Giancarlo Stanton,NYY,OF,MLB,TROU,
removed,8650,Lance Lynn,STL,P,MLB,Whiz Kids,
removed,8658,Freddie Freeman,LAD,1B,MLB,CASC,Law-Abiding Citizens
added,8658,Freddie Freeman,LAD,1B,MLB,CASC,Law-Abiding Citizens
removed,8723,Josh Donaldson,MIL,3B,MLB,Whiz Kids,
removed,8736,Adam Ottavino,NYY,P,MLB,CASC,
removed,8758,Kenley Jansen,DET,P,MLB,TROU,The Bluke Blokes
added,8758,Kenley Jansen,DET,P,MLB,TROU,The Bluke Blokes
removed,8759,Michael Pineda,DET,P,MLB,PLAY,
removed,8780,Chris Sale,ATL,P,MLB,ANGE,Hammers
added,8780,Chris Sale,ATL,P,MLB,ANGE,Hammers
removed,8795,Brandon Belt,TOR,"1B,OF",MLB,Btwn2Jackies,
removed,8856,Jordan Lyles,KC,P,MLB,BATI,
removed,8859,Wil Myers,CIN,"1B,CF",MLB,PINS,
removed,8861,Mike Trout,LAA,CF,MLB,Weekend Warriors,The Bluke Blokes
added,8861,Mike Trout,LAA,CF,MLB,Weekend Warriors,The Bluke Blokes
removed,8864,Kyle Gibson,BAL,P,MLB,Weekend Warriors,
removed,8868,Anthony Rizzo,NYY,1B,MLB,PINS,
kept,8875,Bryce Harper,PHI,OF,MLB,Btwn2Jackies,Btwn2Jackies
removed,8932,Danny Duffy,TEX,P,MLB,PLAY,
removed,8945,Brandon Crawford,STL,SS,MLB,Rick Vaughn,
removed,8949,DJ LeMahieu,NYY,"1B,2B,3B",MLB,PINS,
removed,8950,Josh Harrison,CIN,"2B,3B,SS,OF",MLB,BATI,
removed,8957,Charlie Blackmon,COL,OF,MLB,TROU,
removed,8958,Tony Watson,PHI,P,MLB,Weekend Warriors,
removed,8967,Paul Goldschmidt,NYY,1B,MLB,ANGE,
removed,8996,Jose Altuve,HOU,2B,MLB,ANGE,Law-Abiding Citizens
added,8996,Jose Altuve,HOU,2B,MLB,ANGE,Law-Abiding Citizens
removed,9002,J.D. Martinez,NYM,OF,MLB,Andromedans,
removed,9007,Nathan Eovaldi,TEX,P,MLB,PINS,not much of a donkey
added,9007,Nathan Eovaldi,TEX,P,MLB,PINS,not much of a donkey
removed,9015,Salvador Perez,KC,C,MLB,HURL,The Bluke Blokes
added,9015,Salvador Perez,KC,C,MLB,HURL,The Bluke Blokes
removed,9019,Wily Peralta,PIT,P,MLB,Weekend Warriors,
removed,9048,Corey Kluber,BOS,P,MLB,CASC,
removed,9054,Eduardo Escobar,TOR,"1B,2B,3B",MLB,CASC,
removed,9057,Liam Hendriks,BOS,P,MLB,Andromedans,
removed,9095,Yu Darvish,SD,P,MLB,Weekend Warriors,The Bluke Blokes
added,9095,Yu Darvish,SD,P,MLB,Weekend Warriors,The Bluke Blokes
