upid,name,manager,player_type,contract_type,status,years_simple
5738,Colton Gordon,,MLB,,[5] TC1,TC 1
1990,Zac Gallen,,MLB,,[5] TC1,TC 1
3815,Jonatan Clase,,MLB,,[5] TC1,TC 1
7708,Logan Evans,,MLB,,[5] TC1,TC 1
3743,Trey Sweeney,,MLB,,[5] TC1,TC 1
3582,Jordan Wicks,,MLB,,[5] TC1,TC 1
2138,Bailey Ober,,MLB,,[5] TC1,TC 1
2039,Alec Bohm,,MLB,,[5] TC1,TC 1
1878,Kris Bryant,,MLB,,[5] TC1,TC 1
1897,Starling Marte,,MLB,,[5] TC1,TC 1
1900,Whit Merrifield,,MLB,,[5] TC1,TC 1
6869,Alan Roden,,MLB,,[5] TC1,TC 1
1926,Alex Verdugo,,MLB,,[5] TC1,TC 1
1944,Eloy Jiménez,,MLB,,[5] TC1,TC 1
1961,Lance Lynn,,MLB,,[5] TC1,TC 1
1974,Ryan McMahon,,MLB,,[5] TC1,TC 1
1975,Ryan Pressly,,MLB,,[5] TC1,TC 1
1994,A.J. Minter,,MLB,,[5] TC1,TC 1
1997,Aaron Bummer,,MLB,,[5] TC1,TC 1
2021,Adbert Alzolay,,MLB,,[5] TC1,TC 1
2056,Alex Kirilloff,,MLB,,[5] TC1,TC 1
2057,Alex Lange,,MLB,,[5] TC1,TC 1
2065,Alika Williams,,MLB,,[5] TC1,TC 1
2079,Andrew Chafin,,MLB,,[5] TC1,TC 1
2117,Andrew Politi,,MLB,,[5] TC1,TC 1
2201,Brusdar Graterol,,MLB,,[5] TC1,TC 1
2254,Chas McCormick,,MLB,,[5] TC1,TC 1
2258,Chayce McDermott,,MLB,,[5] TC1,TC 1
2269,Chris Paddack,,MLB,,[5] TC1,TC 1
2310,Craig Kimbrel,,MLB,,[5] TC1,TC 1
2364,Dean Kremer,,MLB,,[5] TC1,TC 1
2365,Deivi García,,MLB,,[5] TC1,TC 1
2418,Dustin Harris,,MLB,,[5] TC1,TC 1
2491,Gage Workman,,MLB,,[5] TC1,TC 1
2520,Griffin Canning,,MLB,,[5] TC1,TC 1
2531,Hector Neris,,MLB,,[5] TC1,TC 1
2565,J.D. Martinez,,MLB,,[5] TC1,TC 1
2567,J.P. Feyereisen,,MLB,,[5] TC1,TC 1
2593,Jake Eder,,MLB,,[5] TC1,TC 1
2623,Jarred Kelenic,,MLB,,[5] TC1,TC 1
2643,Jeff McNeil,,MLB,,[5] TC1,TC 1
2688,Johan Rojas,,MLB,,[5] TC1,TC 1
2698,John Means,,MLB,,[5] TC1,TC 1
2703,Jon Berti,,MLB,,[5] TC1,TC 1
2705,Jon Gray,,MLB,,[5] TC1,TC 1
2709,Jonah Heim,,MLB,,[5] TC1,TC 1
2719,Jordan Hicks,,MLB,,[5] TC1,TC 1
2736,Jorge Soler,,MLB,,[5] TC1,TC 1
2802,Justin Turner,,MLB,,[5] TC1,TC 1
2810,Ke'Bryan Hayes,,MLB,,[5] TC1,TC 1
2814,Keibert Ruiz,,MLB,,[5] TC1,TC 1
2819,Kenta Maeda,,MLB,,[5] TC1,TC 1
2824,Kevin Ginkel,,MLB,,[5] TC1,TC 1
2846,Kutter Crawford,,MLB,,[5] TC1,TC 1
