yahoo_team_id,team_name,manager_name,fbp_abbr,player_id,player_key,name,first_name,last_name,position,eligible_positions,team,team_full,status,ownership_type,owned_by,percent_owned
2,Btwn2Jackies,Lauren,B2J,8180,458.p.8180,Clayton Kershaw,Clayton,Kershaw,SP,,LAD,Los Angeles Dodgers,NA,team,458.l.15505.t.2,61
1,Whiz Kids,Kyle,WIZ,8287,458.p.8287,David Robertson,David,Robertson,RP,,PHI,Philadelphia Phillies,NA,team,458.l.15505.t.1,5
1,Whiz Kids,Kyle,WIZ,8616,458.p.8616,Aroldis Chapman,Aroldis,Chapman,RP,,BOS,Boston Red Sox,,team,458.l.15505.t.1,91
7,Law Abiding Citizen,Mike,LAW ,8658,458.p.8658,Freddie Freeman,Freddie,Freeman,1B,,LAD,Los Angeles Dodgers,,team,458.l.15505.t.7,99
11,The Bluke Blokes,Blake,TBB,8758,458.p.8758,Kenley Jansen,Kenley,Jansen,RP,,DET,Detroit Tigers,,team,458.l.15505.t.11,80
4,Hammers,Nathan,HAM,8780,458.p.8780,Chris Sale,Chris,Sale,SP,,ATL,Atlanta Braves,,team,458.l.15505.t.4,96
11,The Bluke Blokes,Blake,TBB,8861,458.p.8861,Mike Trout,Mike,Trout,CF,,LAA,Los Angeles Angels,,team,458.l.15505.t.11,88
2,Btwn2Jackies,Lauren,B2J,8875,458.p.8875,Bryce Harper,Bryce,Harper,1B,,PHI,Philadelphia Phillies,,team,458.l.15505.t.2,99
7,Law Abiding Citizen,Mike,LAW ,8996,458.p.8996,Jose Altuve,Jose,Altuve,"2B,OF",,HOU,Houston Astros,DTD,team,458.l.15505.t.7,97
8,not much of a donkey,ben,SAD,9007,458.p.9007,Nathan Eovaldi,Nathan,Eovaldi,SP,,TEX,Texas Rangers,IL60,team,458.l.15505.t.8,59
11,The Bluke Blokes,Blake,TBB,9015,458.p.9015,Salvador Perez,Salvador,Perez,"C,1B",,KC,Kansas City Royals,,team,458.l.15505.t.11,96
11,The Bluke Blokes,Blake,TBB,9095,458.p.9095,Yu Darvish,Yu,Darvish,SP,,SD,San Diego Padres,,team,458.l.15505.t.11,46
7,Law Abiding Citizen,Mike,LAW ,9111,458.p.9111,Manny Machado,Manny,Machado,3B,,SD,San Diego Padres,,team,458.l.15505.t.7,99
3,Country Fried Lamb,Jake,CFL,9112,458.p.9112,Jurickson Profar,Jurickson,Profar,OF,,ATL,Atlanta Braves,,team,458.l.15505.t.3,75
9,Andromedans,Zakkeroni,DRO,9116,458.p.9116,Francisco Lindor,Francisco,Lindor,SS,,NYM,New York Mets,DTD,team,458.l.15505.t.9,99
10,Rick Vaughn,Richard,RV,9121,458.p.9121,Gerrit Cole,Gerrit,Cole,SP,,NYY,New York Yankees,IL60,team,458.l.15505.t.10,14
2,Btwn2Jackies,Lauren,B2J,9124,458.p.9124,Zack Wheeler,Zack,Wheeler,SP,,PHI,Philadelphia Phillies,IL60,team,458.l.15505.t.2,59
2,Btwn2Jackies,Lauren,B2J,9176,458.p.9176,Jose Quintana,Jose,Quintana,SP,,MIL,Milwaukee Brewers,NA,team,458.l.15505.t.2,25
7,Law Abiding Citizen,Mike,LAW ,9319,458.p.9319,Xander Bogaerts,Xander,Bogaerts,"2B,SS",,SD,San Diego Padres,,team,458.l.15505.t.7,63
12,Weekend Warriors,Zach,WAR,9320,458.p.9320,Christian Yelich,Christian,Yelich,OF,,MIL,Milwaukee Brewers,,team,458.l.15505.t.12,94
12,Weekend Warriors,Zach,WAR,9329,458.p.9329,Michael Wacha,Michael,Wacha,SP,,KC,Kansas City Royals,,team,458.l.15505.t.12,41
2,Btwn2Jackies,Lauren,B2J,9334,458.p.9334,Kevin Gausman,Kevin,Gausman,SP,,TOR,Toronto Blue Jays,,team,458.l.15505.t.2,92
1,Whiz Kids,Kyle,WIZ,9339,458.p.9339,George Springer,George,Springer,CF,,TOR,Toronto Blue Jays,,team,458.l.15505.t.1,92
4,Hammers,Nathan,HAM,9459,458.p.9459,Sonny Gray,Sonny,Gray,SP,,BOS,Boston Red Sox,,team,458.l.15505.t.4,87
8,not much of a donkey,ben,SAD,9507,458.p.9507,José Ramírez,José,Ramírez,3B,,CLE,Cleveland Guardians,,team,458.l.15505.t.8,99
6,La Flama Blanca,Alex,LFB,9552,458.p.9552,Mookie Betts,Mookie,Betts,"2B,SS,OF",,LAD,Los Angeles Dodgers,,team,458.l.15505.t.6,99
5,Jepordizers,John Mobley,JEP,9571,458.p.9571,Trevor Story,Trevor,Story,SS,,BOS,Boston Red Sox,,team,458.l.15505.t.5,86
