upid,rank,name,FBP_Team,age,bats,birth_date,debut?,2026 FV ,fypd,fypd_rank,mlb_id,mlb_primary_position,player_type,position,status,team,throws,weight,yahoo_id,years_simple,2026 INTL Sign FV,2025 INTL Sign FV,2024 INTL Sign FV,2025 FYPD FV,2024 FYPD FV,2023 FYPD FV,2024 Top 100,2025 Preseason Top 100,2025 Post-Season Top 100,2026 Preseason Top 100,2025 International Signings,2026 International Signings,2025 FYPD Rankings,2024 FYPD Rankings,2024 Top 10 Positions,2025 Top 10 Positions,2026 Top 10 Positions,2026 FG Rank,2026 FG Team RK,,2025 FG Rank,2025 FG Team RK,2024 FG Rank,2024 FG Team RK,2025 Futures Game,2024 Futures Game
7612,1,Konnor Griffin,LFB,19,R,2006-04-24,,,FALSE,,804606,SS,Farm,SS,[7] P,PIT,R,225,,P,,,,,45+,,,43,1,1,,,,9,,1,1,,,,61,2,,,2025 Futures Game,
6591,2,Kevin McGonigle,WIZ,21,L,2004-08-18,,,FALSE,,805808,SS,Farm,SS,[7] P,DET,R,187,,P,,,,,,45,,28,2,2,,,,,,2,2,,,,35,3,,7,2025 Futures Game,
7173,3,Leodalis De Vries,WIZ,19,S,2006-10-11,,,FALSE,,815888,SS,Farm,SS,[7] P,SD,R,183,,P,,,50,,,,,18,3,4,2,,,,,3,4,,,,38,2,46,3,2025 Futures Game,
7607,4,Jesus Made,WAR,18,S,2007-05-08,,65,FALSE,,815908,SS,Farm,SS,[7] P,MIL,R,187,,P,,,35+,,,,,56,4,3,23,,,,,4,3,,1,,10,1,,38,2025 Futures Game,
7619,5,JJ Wetherholt,LAW,23,L,2002-09-10,,,FALSE,,802139,SS,Farm,SS,[7] P,STL,R,190,,P,,,,,50,,,23,5,5,,,,4,,5,5,,,,34,1,,,2025 Futures Game,
6141,6,Sebastian Walcott,RV,19,R,2006-03-14,,,FALSE,,806964,SS,Farm,SS,[7] P,TEX,R,190,,P,,,,,,,71,17,6,7,,,,,,6,6,,,,4,1,96,3,2025 Futures Game,2024 Futures Game
4593,7,Samuel Basallo,SAD,21,L,2004-08-13,,,FALSE,,694212,C,Farm,C,[7] P,BAL,R,180,,P,,,,,,,17,13,7,8,,,,,2,1,1,,,,5,1,9,2,,2024 Futures Game
6566,8,Max Clark,B2J,21,L,2004-12-21,,,FALSE,,703601,OF,Farm,OF,[7] P,DET,L,205,,P,,,,,,50,13,6,8,10,,,,,6,1,1,,,,31,2,44,2,2025 Futures Game,2024 Futures Game
6595,9,Colt Emerson,CFL,20,L,2005-07-20,,55,FALSE,,806068,SS,Farm,SS,[7] P,SEA,R,195,,P,,,,,,45,87,20,9,9,,,,,,7,7,,1,,33,1,66,3,,
6568,10,Walker Jenkins,LAW,20,L,2005-02-19,,,FALSE,,805805,OF,Farm,OF,[7] P,MIN,R,210,,P,,,,,,50,10,3,10,14,,,,,5,2,2,,,,24,1,30,1,,
6911,11,Nolan McLean,SAD,24,R,2001-07-24,,,FALSE,,690997,P,Farm,RHP,[7] P,NYM,R,214,,P,,,,,,35+,,,11,6,,,,,,1,1,,,,92,3,,11,,
6599,12,Bryce Eldridge,JEP,21,L,2004-10-20,,,FALSE,,805811,1B,Farm,1B,[7] P,SF,R,240,,P,,,,,,45,96,24,12,25,,,,,,1,2,,,,17,1,82,2,,2024 Futures Game
3661,13,Josue De Paula,RV,20,L,2005-05-24,,55,FALSE,,800543,CF,Farm,OF,[7] P,LAD,L,185,,P,,,,,,,,40,13,15,,,,,,3,3,,1,,62,4,29,1,2025 Futures Game,
3779,14,Bubba Chandler,RV,23,S,2002-09-14,,,FALSE,,696149,P,Farm,RHP,[7] P,PIT,R,218,,P,,,,,,,93,15,14,11,,,,,,2,2,,,,13,1,73,4,,2024 Futures Game
7944,15,Eli Willits,,18,S,,,,TRUE,11,,,Farm,SS,[7] P,WSN,R,,,P,,,,50,,,,,15,13,,,5,,,8,8,,,,,,,,,
3484,16,Andrew Painter,WAR,22,R,2003-04-10,,,FALSE,,691725,P,Farm,RHP,[7] P,PHI,R,215,,P,,,,,,,27,8,16,28,,,,,4,3,4,,,,6,1,12,1,,
7677,17,Travis Bazzana,CFL,23,L,2002-08-28,,50,FALSE,,683953,2B,Farm,2B,[7] P,CLE,R,199,,P,,,,,50,,,10,17,20,,,,1,,1,1,,4,,40,2,,,,
7608,18,Luis Pena,WAR,19,R,2006-11-13,,55,FALSE,,821270,SS,Farm,SS,[7] P,MIL,R,185,,P,,,40,,,,,,18,26,,,,,,9,,,2,,64,4,,22,,
7940,19,Ethan Holliday,,18,L,,,,TRUE,7,,,Farm,SS,[7] P,COL,R,,,P,,,,55,,,,,19,24,,,1,,,10,10,,,,,,,,,
7635,20,Zyhir Hope,DRO,20,L,2005-01-19,,50,FALSE,,814307,CF,Farm,OF,[7] P,LAD,L,193,,P,,,,,,,,75,20,27,,,,,,4,5,,2,,53,3,,,2025 Futures Game,
