upid,name,manager,team,FBP_Team,player_type,contract_type,status,years_simple,position,mlb_primary_position,mlb_id,yahoo_id,debuted,age
3930,Brandon Sproat,Andromedans,NYM,DRO,Farm,Purchased Contract,[5] P,PC,SP,P,687075,,True,25
2919,Maddux Bruns,,LAD,,Farm,Development Cont.,[7] P,P,SP,SP,,12462,False,
3455,Robert Hassell III,,WSH,,Farm,Purchased Contract,[7] P,P,CF,CF,690987,11984,True,24
3495,Nick Yorke,Andromedans,PIT,DRO,Farm,Purchased Contract,[7] P,PC,2B,2B,694377,,True,23
3997,Marc Church,,TEX,,Farm,Purchased Contract,[7] P,P,RP,P,687847,60438,True,24
4668,Yilber Diaz,,AZ,,Farm,Farm Contract,[7] P,P,RP,P,700270,60566,True,25
6035,Ryan Ritter,Andromedans,COL,DRO,Farm,Purchased Contract,[7] P,PC,"2B,SS",SS,690022,60154,True,25
6649,Thayron Liranzo,,DET,,Farm,Purchased Contract,[7] P,P,C,C,699073,,False,22
7635,Zyhir Hope,Andromedans,LAD,DRO,Farm,Blue Chip Contract,[7] P,BC,OF,CF,814307,63641,False,21
7642,Tyson Neighbors,Andromedans,SD,DRO,Farm,Purchased Contract,[7] P,PC,RP,P,695695,,False,23
7709,Jurrangelo Cijntje,Andromedans,SEA,DRO,Farm,Purchased Contract,[7] P,PC,SP,P,701388,64350,False,22
7743,Jonathon Long,Andromedans,CHC,DRO,Farm,Purchased Contract,[7] P,PC,1B,1B,675085,63189,False,24
2436,Edwin Arroyo,Btwn2Jackies,CIN,B2J,Farm,Farm Contract,[7] P,P,"2B,SS",SS,695490,12534,False,22
3445,Jordan Lawlar,Rick Vaughn,AZ,RV,Farm,Purchased Contract,[7] P,P,3B,SS,691783,12355,True,23
3579,Miguel Bleis,Btwn2Jackies,BOS,B2J,Farm,Purchased Contract,[7] P,P,OF,OF,694194,60106,False,21
3790,Moises Ballesteros,Btwn2Jackies,CHC,B2J,Farm,Purchased Contract,[7] P,P,C,C,694208,60120,True,22
