upid,yahoo_player_id,yahoo_player_key,name,first_name,last_name,mlb_team,mlb_team_full,position,eligible_positions,ownership_type,owned_by_team_key,percent_owned
1892,7590,469.p.7590,Justin Verlander,Justin,Verlander,SF,San Francisco Giants,SP,,freeagents,,2
2084,7977,469.p.7977,Andrew McCutchen,Andrew,McCutchen,PIT,Pittsburgh Pirates,OF,,freeagents,,1
2225,8185,469.p.8185,Carlos Carrasco,Carlos,Carrasco,ATL,Atlanta Braves,SP,,freeagents,,0
1965,8193,469.p.8193,Max Scherzer,Max,Scherzer,TOR,Toronto Blue Jays,SP,,freeagents,,2
2360,8287,469.p.8287,David Robertson,David,Robertson,PHI,Philadelphia Phillies,RP,,team,469.l.8560.t.1,0
2802,8588,469.p.8588,Justin Turner,Justin,Turner,CHC,Chicago Cubs,"1B,3B",,freeagents,,0
1902,8616,469.p.8616,Aroldis Chapman,Aroldis,Chapman,BOS,Boston Red Sox,RP,,team,469.l.8560.t.1,96
2233,8619,469.p.8619,Carlos Santana,Carlos,Santana,CHC,Chicago Cubs,1B,,freeagents,,1
2628,8621,469.p.8621,Jason Heyward,Jason,Heyward,SD,San Diego Padres,OF,,freeagents,,0
2310,8622,469.p.8622,Craig Kimbrel,Craig,Kimbrel,NYM,New York Mets,RP,,freeagents,,0
2507,8634,469.p.8634,Giancarlo Stanton,Giancarlo,Stanton,NYY,New York Yankees,OF,,freeagents,,28
2936,8652,469.p.8652,Martín Pérez,Martín,Pérez,ATL,Atlanta Braves,SP,,freeagents,,0
1877,8658,469.p.8658,Freddie Freeman,Freddie,Freeman,LAD,Los Angeles Dodgers,1B,,team,469.l.8560.t.8,99
1957,8758,469.p.8758,Kenley Jansen,Kenley,Jansen,DET,Detroit Tigers,RP,,team,469.l.8560.t.11,84
1937,8780,469.p.8780,Chris Sale,Chris,Sale,ATL,Atlanta Braves,SP,,team,469.l.8560.t.5,99
2745,8848,469.p.8848,Jose Iglesias,Jose,Iglesias,SD,San Diego Padres,"2B,3B,SS",,freeagents,,0
1967,8861,469.p.8861,Mike Trout,Mike,Trout,LAA,Los Angeles Angels,CF,,team,469.l.8560.t.11,82
3233,8871,469.p.8871,Shelby Miller,Shelby,Miller,MIL,Milwaukee Brewers,RP,,freeagents,,1
2210,8875,469.p.8875,Bryce Harper,Bryce,Harper,PHI,Philadelphia Phillies,1B,,team,469.l.8560.t.3,99
4008,8918,469.p.8918,Alex Cobb,Alex,Cobb,DET,Detroit Tigers,SP,,freeagents,,0
1970,8967,469.p.8967,Paul Goldschmidt,Paul,Goldschmidt,NYY,New York Yankees,1B,,freeagents,,4
1907,8996,469.p.8996,Jose Altuve,Jose,Altuve,HOU,Houston Astros,"2B,OF",,team,469.l.8560.t.8,94
1969,9007,469.p.9007,Nathan Eovaldi,Nathan,Eovaldi,TEX,Texas Rangers,SP,,team,469.l.8560.t.9,87
1976,9015,469.p.9015,Salvador Perez,Salvador,Perez,KC,Kansas City Royals,"C,1B",,team,469.l.8560.t.11,93
3367,9017,469.p.9017,Wade Miley,Wade,Miley,CIN,Cincinnati Reds,SP,,freeagents,,0
1962,9057,469.p.9057,Liam Hendriks,Liam,Hendriks,BOS,Boston Red Sox,RP,,freeagents,,0
2408,9068,469.p.9068,Drew Pomeranz,Drew,Pomeranz,LAA,Los Angeles Angels,"SP,RP",,freeagents,,1
1924,9095,469.p.9095,Yu Darvish,Yu,Darvish,SD,San Diego Padres,SP,,team,469.l.8560.t.11,1
3306,9096,469.p.9096,Travis d'Arnaud,Travis,d'Arnaud,LAA,Los Angeles Angels,C,,freeagents,,0
2499,9097,469.p.9097,Gary Sánchez,Gary,Sánchez,BAL,Baltimore Orioles,C,,freeagents,,0
1880,9105,469.p.9105,Nolan Arenado,Nolan,Arenado,AZ,Arizona Diamondbacks,3B,,freeagents,,16
2107,9106,469.p.9106,Anthony Rendon,Anthony,Rendon,LAA,Los Angeles Angels,3B,,freeagents,,0
1914,9108,469.p.9108,Nick Castellanos,Nick,Castellanos,PHI,Philadelphia Phillies,OF,,freeagents,,15
