player_id,player_name,ownership_type_2025,owned_by_2025,fbp_team_2025,manager_2025,team_name_2025,ownership_type_2026,owned_by_2026,fbp_team_2026,manager_2026,team_name_2026
8180,Clayton Kershaw,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,,,,,
8658,Freddie Freeman,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
8780,Chris Sale,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
8875,Bryce Harper,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
8996,Jose Altuve,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
9007,Nathan Eovaldi,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
9111,Manny Machado,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
9112,Jurickson Profar,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
9116,Francisco Lindor,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
9124,Zack Wheeler,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
9176,Jose Quintana,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
9319,Xander Bogaerts,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
9334,Kevin Gausman,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
9459,Sonny Gray,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
9507,José Ramírez,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
9552,Mookie Betts,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
9571,Trevor Story,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
9573,Carlos Correa,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
9582,Sean Manaea,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
9584,Corey Seager,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
9590,Byron Buxton,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
9605,Matt Olson,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
9620,Max Fried,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
9672,Blake Treinen,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
9691,Robbie Ray,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
9718,J.T. Realmuto,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
9750,Jorge Polanco,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
9758,Kyle Hendricks,team,458.l.15505.t.11,TBB,Blake,The Bluke Blokes,,,,,
9815,Yimi García,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
9846,Christian Walker,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
9861,Kyle Schwarber,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
9876,Brandon Nimmo,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
9877,Aaron Judge,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
9882,Aaron Nola,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
9902,Raisel Iglesias,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
10011,Matthew Boyd,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10131,Josh Hader,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10148,Blake Snell,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
10152,Reynaldo López,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
10166,Willson Contreras,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
10183,Alex Bregman,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
10205,Matt Chapman,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
10214,Edwin Díaz,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
10235,Rafael Devers,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10236,Gleyber Torres,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10237,Ozzie Albies,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10274,Carlos Estévez,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10418,Brad Keller,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
10420,Austin Riley,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
10438,Dylan Cease,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
10440,Ian Happ,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
10465,Yandy Díaz,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10496,Taylor Ward,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
10514,Luis Castillo,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10522,Trent Grisham,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10549,Grant Holmes,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
10565,Mitch Keller,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
10574,Adrian Morejon,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10591,Harrison Bader,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10592,Jack Flaherty,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
10601,Josh Lowe,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10610,Cole Ragans,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
10616,Lourdes Gurriel Jr.,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
10626,Juan Soto,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
10627,Jesús Luzardo,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10639,Fernando Tatis Jr.,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10642,Will Smith,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
10646,Ronald Acuña Jr.,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
10683,Nick Pivetta,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
10692,José Alvarado,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
10730,Brandon Woodruff,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10765,Luis Robert Jr.,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10766,Bo Bichette,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10839,Jazz Chisholm Jr.,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10843,Daulton Varsho,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
10861,Brendon Little,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
10862,Hunter Greene,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10867,Shane Bieber,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
10877,Jake Burger,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10883,Yordan Alvarez,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
10893,Jo Adell,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
10901,Dennis Santana,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10916,Royce Lewis,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
10918,Pete Alonso,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
10922,Mark Vientos,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
10934,Shane Baz,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
10940,MacKenzie Gore,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
10941,Joey Lucchesi,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
11009,Jason Adam,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
11011,Seranthony Domínguez,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
11104,Randy Arozarena,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
11117,Ranger Suárez,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
11118,Jeff McNeil,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
11121,Jeffrey Springs,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
11125,Brandon Lowe,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
11138,Framber Valdez,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
11202,Justin Steele,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
11203,Jimmy Herget,team,458.l.15505.t.5,JEP,John Mobley,Jepordizers,team,469.l.8560.t.6,LFB,Alex,La Flama Blanca
11208,Bryan Abreu,team,458.l.15505.t.2,B2J,Lauren,Btwn2Jackies,team,469.l.8560.t.3,CFL,Jake,Country Fried Lamb
11221,Luis Arraez,team,458.l.15505.t.8,SAD,ben,not much of a donkey,team,469.l.8560.t.9,DRO,Zakkeroni,Andromedans
11235,Logan Webb,team,458.l.15505.t.4,HAM,Nathan,Hammers,team,469.l.8560.t.5,JEP,John Mobley,Jepordizers
11277,Grayson Rodriguez,team,458.l.15505.t.6,LFB,Alex,La Flama Blanca,team,469.l.8560.t.7,LAW,Mike,Law Abiding Citizen
11290,TJ Friedl,team,458.l.15505.t.3,CFL,Jake,Country Fried Lamb,team,469.l.8560.t.4,HAM,Nathan,Hammers
11315,Cristian Javier,team,458.l.15505.t.7,LAW,Mike,Law Abiding Citizen,team,469.l.8560.t.8,SAD,ben,not much of a donkey
11323,Brady Singer,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
11325,Jeremiah Jackson,team,458.l.15505.t.9,DRO,Zakkeroni,Andromedans,team,469.l.8560.t.2,B2J,Lauren,Btwn2Jackies
