Admin,Date & Time,UPID/LUPID,Player Name,Team,Pos,Age,Level,Team Rank,Rank,ETA,Player Type,Owner,Contract Status,Years,Update Type,Event 
,2/22/2023 10:13:00,3732,Mark Vientos,,,,,,,,,Jepordizers!,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2873,Lenyn Sosa,,,,,,,,,Jepordizers!,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,4340,James Outman,,,,,,,,,Jepordizers!,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3549,Jared Shuster,,,,,,,,,Jepordizers!,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3660,Nick Loftin,,,,,,,,,Jepordizers!,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3513,Ivan Herrera,,,,,,,,,Jepordizers!,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,4670,Brett Harris,,,,,,,,,Jepordizers!,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3552,Victor Vodnik,,,,,,,,,Jepordizers!,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2529,Hayden Wesneski,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3646,Pedro Leon,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3653,Matt Mervis,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3540,Deyvison De Los Santos,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3502,Austin Wells,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3718,Austin Martin,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,4020,Yosver Zulueta,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,3061,Norge Vera,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
,2/22/2023 10:13:00,2882,Logan Allen,,,,,,,,,Omens In The Outfield,,,Draft,23 Preseason Prospect Draft 
