 ,Player History Audit ,,,,,,,,,,,,,,,
Admin,Date & Time,UPID,Player Name,Team,Pos ,Age ,Level,Team Rank,Rank,ETA,Player Type,Owner,Contract Status,Years,Update Type,Event
Zach,1/21/2025 21:51:45,1876,Jacob deGrom,TEX,SP,,,,342,,MLB,Country Fried Lamb,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1877,Freddie Freeman,LAD,1B,33,MLB,,7,,MLB,Andromedans,Franchise Contract,[0] F3+,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1879,Mookie Betts,LAD,"2B,SS,OF",,,,3,,MLB,La Flama Blanca,Keeper Contract ,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1880,Nolan Arenado,STL,3B,32,MLB,,87,,MLB,Country Fried Lamb,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1881,Xander Bogaerts,SD,SS,,MLB,,96,,MLB,Jepordizers!,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1882,Alex Bregman,HOU,3B,29,MLB,,71,,MLB,Whiz Kids,Keeper Contract,[1] F3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1883,Cody Bellinger,CHC,"1B,CF",,MLB,,54,,MLB,Law-Abiding Citizens,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1884,José Ramírez,CLE,3B,30,MLB,,16,,MLB,not much of a donkey,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1885,Trea Turner,PHI,SS,,,,13,,MLB,The Bluke Blokes,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1886,Aaron Judge,NYY,CF,31,MLB,,8,,MLB,Andromedans,Franchise Contract,[2] F2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1887,Blake Snell,SD,SP,,,,61,,MLB,Whiz Kids,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1888,Gerrit Cole,NYY,SP,32,MLB,,14,,MLB,Law-Abiding Citizens,Keeper Contract,[2] F2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1889,J.T. Realmuto,PHI,C,,,,76,,MLB,not much of a donkey,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1891,José Berríos,TOR,SP,,MLB,,152,,MLB,Btwn2Jackies,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1893,Matt Olson,ATL,1B,29,MLB,,15,,MLB,not much of a donkey,Franchise Contract,[2] F2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1894,Max Muncy,LAD,3B,,,,127,,MLB,Andromedans,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1901,Zack Wheeler,PHI,SP,33,MLB,,27,,MLB,Btwn2Jackies,Franchise Contract,[2] F2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1902,Aroldis Chapman,PIT,RP,,,,335,,MLB,Btwn2Jackies,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1903,Brandon Woodruff,MIL,SP,30,MLB,,460,,MLB,Whiz Kids,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1905,Gleyber Torres,NYY,2B,,,,86,,MLB,The Bluke Blokes,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1906,Jack Flaherty,DET,SP,27,MLB,,351,,MLB,Hammers,,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1907,Jose Altuve,HOU,2B,33,MLB,,35,,MLB,Andromedans,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1908,Josh Hader,HOU,RP,28,MLB,,63,,MLB,Rick Vaughn,Keeper Contract,[7] Y3,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1909,Juan Soto,NYY,OF,23,MLB,,11,,MLB,Whiz Kids,Franchise Contract,[3] F1,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1910,Ketel Marte,AZ,2B,,,,106,,MLB,Rick Vaughn,Keeper Contract,[6] Y2,Roster,24 Rosters
Zach,1/21/2025 21:51:45,1912,Luis Castillo,SEA,SP,,MLB,,33,,MLB,Btwn2Jackies,Keeper Contract,[7] Y3,Roster,24 Rosters
