log_season,log_event,log_id,log_source,log_admin,log_timestamp,log_upid,log_player_name,log_team,log_pos,log_age,log_level,log_team_rank,log_rank,log_eta,log_player_type,log_owner,log_contract,log_status,log_years,log_update_type,cp_name,cp_team,cp_position,cp_manager,cp_player_type,cp_contract_type,cp_status,cp_years_simple,cp_yahoo_id,cp_upid,cp_mlb_id,cp_FBP_Team,cp_birth_date,cp_age,cp_height,cp_weight,cp_bats,cp_throws,cp_mlb_primary_position,cp_fypd,cp_rank,cp_debut_date,cp_debuted,mismatch_reason
2026,26 PAD,2026-2026-02-06T14:00:22.325750Z-UPID_7569-Drop-2026_PAD_BACKFILL,2026_PAD_BACKFILL,pad_backfill,2026-02-06T14:00:22.325750Z,7569,Otto Kemp,PHI,"1B,3B,OF",,,,1901,,Farm,Weekend Warriors,Purchased Contract,[7] P,P,Drop,Otto Kemp,PHI,"1B,3B,OF",,MLB,,[5] TC1,TC 1,64989,7569,805249,,1999-09-09,26,"5' 11""",185,R,R,1B,False,1901,,True,current_player_type_MLB
2026,26 PAD,2026-2026-02-06T14:00:22.325780Z-UPID_3730-Drop-2026_PAD_BACKFILL,2026_PAD_BACKFILL,pad_backfill,2026-02-06T14:00:22.325780Z,3730,Mason Montgomery,TB,RP,25,,,1800,,Farm,Whiz Kids,Purchased Contract,[7] P,P,Drop,Mason Montgomery,TB,RP,Whiz Kids,MLB,Keeper Contract,[6] TCR,TC R,,3730,682254,WIZ,2000-06-17,25,"6' 2""",205,L,L,P,False,1800,09/05/2024,True,current_player_type_MLB
2026,26 PAD,2026-2026-02-06T14:33:49.611204-05:00-UPID_2362-Drop-2026_PAD,2026_PAD,pad_submission,2026-02-06T14:33:49.611204-05:00,2362,Daylen Lile,WSH,OF,,,,1272,,Farm,,Farm Contract,[7] P,P,Drop,Daylen Lile,WSH,OF,Country Fried Lamb,MLB,Keeper Contract,[6] TCR,TC R,12582,2362,695734,CFL,2002-11-30,23,"5' 11""",195,L,R,RF,False,1272,,True,current_player_type_MLB
2026,26 PAD,2026-2026-02-06T18:47:00.327101-05:00-UPID_3891-Purchase-2026_PAD,2026_PAD,pad_submission,2026-02-06T18:47:00.327101-05:00,3891,Cam Collier,CIN,"1B,3B",21,,,94,,Farm,Rick Vaughn,Development Contract,[7] P,DC,Purchase,Cam Collier,CIN,"1B,3B",Rick Vaughn,Farm,Purchased Contract,[7] P,P,60128,3891,702253,RV,2004-11-20,21,"6' 1""",210,L,R,3B,False,94,,False,contract_mismatch:Purchased Contract->Development Contract;years_simple_mismatch:P->DC
2026,26 PAD,2026-2026-02-06T18:47:00.327177-05:00-UPID_3920-Purchase-2026_PAD,2026_PAD,pad_submission,2026-02-06T18:47:00.327177-05:00,3920,Owen Murphy,ATL,SP,22,,,175,,Farm,Rick Vaughn,Development Contract,[7] P,DC,Purchase,Owen Murphy,ATL,SP,Rick Vaughn,Farm,Farm Contract,[7] P,P,60070,3920,702566,RV,2003-09-27,22,"6' 1""",190,R,R,P,False,175,,False,contract_mismatch:Farm Contract->Development Contract;years_simple_mismatch:P->DC
2026,26 PAD,2026-2026-02-06T18:47:00.327199-05:00-UPID_3445-Purchase-2026_PAD,2026_PAD,pad_submission,2026-02-06T18:47:00.327199-05:00,3445,Jordan Lawlar,AZ,3B,23,,,1574,,Farm,Rick Vaughn,Purchased Contract,[7] P,PC,Purchase,Jordan Lawlar,AZ,3B,Rick Vaughn,Farm,Purchased Contract,[7] P,P,12355,3445,691783,RV,2002-07-17,23,"6' 0""",190,R,R,SS,False,1574,09/07/2023,True,years_simple_mismatch:P->PC
2026,26 PAD,2026-2026-02-06T18:47:00.327223-05:00-UPID_7602-Purchase-2026_PAD,2026_PAD,pad_submission,2026-02-06T18:47:00.327223-05:00,7602,Chase Burns,CIN,"SP,RP",22,,,1161,,Farm,Rick Vaughn,Purchased Contract,[7] P,PC,Purchase,Chase Burns,CIN,"SP,RP",Rick Vaughn,Farm,Purchased Contract,[7] P,P,64316,7602,695505,RV,2003-01-16,23,"6' 3""",210,R,R,P,False,1161,06/24/2025,True,years_simple_mismatch:P->PC
2026,26 PAD,2026-2026-02-06T18:47:00.327276-05:00-UPID_3779-Purchase-2026_PAD,2026_PAD,pad_submission,2026-02-06T18:47:00.327276-05:00,3779,Bubba Chandler,PIT,SP,23,,,14,,Farm,Rick Vaughn,Purchased Contract,[7] P,PC,Purchase,Bubba Chandler,PIT,SP,Rick Vaughn,Farm,Purchased Contract,[7] P,P,12516,3779,696149,RV,2002-09-14,23,"6' 3""",218,S,R,P,False,14,08/22/2025,True,years_simple_mismatch:P->PC
2026,26 PAD,2026-2026-02-06T18:47:00.327324-05:00-UPID_3940-Purchase-2026_PAD,2026_PAD,pad_submission,2026-02-06T18:47:00.327324-05:00,3940,Robby Snelling,MIA,SP,22,,,51,,Farm,Rick Vaughn,Purchased Contract,[7] P,PC,Purchase,Robby Snelling,MIA,SP,Rick Vaughn,Farm,Purchased Contract,[7] P,P,,3940,702281,RV,2003-12-19,22,"6' 3""",210,R,L,P,False,51,,False,years_simple_mismatch:P->PC
2026,26 PAD,2026-2026-02-06T18:47:00.327376-05:00-UPID_6573-Purchase-2026_PAD,2026_PAD,pad_submission,2026-02-06T18:47:00.327376-05:00,6573,Kyle Teel,CWS,C,23,,,1707,,Farm,Rick Vaughn,Purchased Contract,[7] P,PC,Purchase,Kyle Teel,CWS,C,Rick Vaughn,Farm,Purchased Contract,[7] P,P,,6573,691019,RV,2002-02-15,23,"6' 0""",210,L,R,C,False,1707,06/06/2025,True,years_simple_mismatch:P->PC
