upid,name,fbp_team,manager,age,role,mlb_pa_approx,mlb_g_bat,mlb_ip,mlb_g_pit,fail_reasons
2005,Aaron Zavala,,,25,batter,1720.0,402.0,0,0,PA|GP
6007,Abimelec Ortiz,,,23,batter,631.0,155.0,0,0,PA|GP
3527,Adael Amador,,,22,batter,887.0,162.0,0,0,PA|GP
6869,Alan Roden,,,26,batter,106.0,0,0,0,AGE
6094,Alek Jacob,,,27,pitcher,12.0,35.0,50.3,0,AGE
4461,Alexander Canario,,,25,batter,959.0,160.0,0,0,PA|GP
2065,Alika Williams,,,26,batter,570.0,85.0,0,0,AGE|PA|GP
6855,Allan Castro,,,22,batter,591.0,141.0,0,0,PA|GP
4296,Allan Winans,,,30,pitcher,39.0,61.0,48.4,0,AGE
3977,Andres Chaparro,,,26,batter,1615.0,350.0,0,0,AGE|PA|GP
6210,Andrew Moore,,,31,batter,76.0,78.0,0,0,AGE
7096,Andrew Pinckney,,,25,batter,1435.0,351.0,0,0,PA|GP
2117,Andrew Politi,,,29,batter,138.0,178.0,0,0,AGE|GP
6233,Andrew Taylor,,,39,batter,195.0,157.0,0,0,AGE|GP
7391,Andy Perez,,,21,batter,1369.0,339.0,0,0,PA|GP
3667,Angel Zerpa,,,26,pitcher,24.0,26.0,159.6,0,AGE|IP
4464,Anthony Garcia,,,34,batter,1979.0,524.0,0,0,AGE|PA|GP
6923,Anthony Veneziano,,,28,pitcher,116.0,61.0,25.1,0,AGE
6802,Antonio Jimenez,,,21,batter,908.0,299.0,0,0,PA|GP
3659,Asa Lacy,,,26,batter,55.0,18.0,0,0,AGE
4966,Austin Charles,,,22,batter,459.0,117.0,0,0,PA|GP
6273,Austin Cox,,,28,pitcher,124.0,89.0,56.3,0,AGE
3565,Austin Peterson,,,26,batter,42.0,37.0,0,0,AGE
4488,Austin Shenton,,,27,batter,50.0,0,0,0,AGE
6787,Ben Casparius,,,26,pitcher,72.0,38.0,85.3,0,AGE
7861,Ben Shields,,,26,batter,2.0,1.0,0,0,AGE
5885,Billy Cook,,,27,batter,967.0,232.0,0,0,AGE|PA|GP
6981,Blake Dunn,,,27,batter,96.0,0,0,0,AGE
5881,Blake Hunt,,,25,batter,602.0,145.0,0,0,PA|GP
4158,Blaze Alexander,,,26,batter,1201.0,189.0,0,0,AGE|PA|GP
3570,Blaze Jordan,,,23,batter,778.0,184.0,0,0,PA|GP
7104,Boston Baro,,,21,batter,364.0,84.0,0,0,PA|GP
3547,Braden Shewmake,,,28,batter,410.0,83.0,0,0,AGE|PA|GP
7170,Brady Basso,,,28,pitcher,19.0,27.0,33.3,0,AGE
3572,Brandon Walter,,,29,pitcher,18.0,28.0,76.2,0,AGE
6880,Brandon Winokur,,,21,batter,396.0,94.0,0,0,PA|GP
6821,Brandon Young,,,27,pitcher,31.0,26.0,57.2,0,AGE
5858,Brant Hurter,,,27,pitcher,37.0,30.0,108.1,0,AGE|IP
7257,Braylin Morel,,,19,batter,375.0,88.0,0,0,PA|GP
6356,Brendan Beck,,,27,batter,0,1.0,0,0,AGE
3459,Brennen Davis,,,26,batter,302.0,76.0,0,0,AGE
4670,Brett Harris,,,27,batter,200.0,0,0,0,AGE
6501,Brett Sullivan,,,31,batter,1792.0,409.0,0,0,AGE|PA|GP
5847,Brett Wisely,,,26,pitcher,1005.0,159.0,1.0,0,AGE
6585,Brock Wilken,,,23,batter,465.0,108.0,0,0,PA|GP
6537,Brooks Baldwin,,,25,batter,441.0,0,0,0,PA
3571,Bryan Mata,,,26,batter,192.0,109.0,0,0,AGE|GP
3597,Bryan Ramos,,,23,batter,1229.0,265.0,0,0,PA|GP
4389,Bryce Johnson,,,30,batter,1331.0,284.0,0,0,AGE|PA|GP
3812,Cade Marlowe,,,28,batter,1178.0,253.0,0,0,AGE|PA|GP
5829,Caleb Durbin,,,25,batter,475.0,0,0,0,PA
3581,Caleb Kilian,,,28,pitcher,9.0,14.0,15.3,0,AGE
5819,Cameron Cauley,,,22,batter,403.0,93.0,0,0,PA|GP
4383,Canaan Smith-Njigba,,,26,batter,792.0,184.0,0,0,AGE|PA|GP
7899,Carlos Gutierrez,,,21,batter,133.0,161.0,0,0,GP
6622,Carlos Jimenez,,,22,batter,338.0,113.0,0,0,GP
3679,Carlos Jorge,,,22,batter,1058.0,270.0,0,0,PA|GP
7461,Carlos Pacheco,,,21,batter,975.0,260.0,0,0,PA|GP
4416,Carlos Pérez,,,35,pitcher,1409.0,437.0,1.2,0,AGE
6381,Carlos Sanchez,,,20,batter,1856.0,516.0,0,0,PA|GP
6994,Carlos Silva,,,46,batter,4.0,4.0,0,0,AGE
3785,Carmen Mlodzinski,,,26,pitcher,60.0,41.0,185.2,0,AGE|IP
7033,Carson Roccaforte,,,23,batter,527.0,122.0,0,0,PA|GP
6774,Carson Spiers,,,28,pitcher,11.0,10.0,116.3,0,AGE|IP
6346,Chad Patrick,,,27,pitcher,52.0,36.0,119.2,0,AGE|IP
2258,Chayce McDermott,,,27,pitcher,65.0,23.0,12.2,0,AGE
3574,Chris Murphy,,,27,pitcher,74.0,50.0,81.4,0,AGE
4508,Christian Franklin,,,26,batter,418.0,98.0,0,0,AGE|PA|GP
7922,Christian Zazueta,,,21,batter,3910.0,1037.0,0,0,PA|GP
3747,Clayton Beeter,,,27,pitcher,86.0,38.0,6.4,0,AGE
3978,Cody Morris,,,29,pitcher,43.0,41.0,8.0,0,AGE
6368,Colby White,,,27,batter,38.0,47.0,0,0,AGE
3729,Cole Sands,,,28,pitcher,46.0,27.0,164.3,0,AGE|IP
3510,Cole Winn,,,26,pitcher,210.0,77.0,58.3,0,AGE
6614,Colton Ledbetter,,,24,batter,431.0,109.0,0,0,PA|GP
4320,Conner Capel,,,28,batter,1495.0,370.0,0,0,AGE|PA|GP
6901,Connor Noland,,,26,batter,37.0,34.0,0,0,AGE
3837,Connor Thomas,,,27,pitcher,134.0,137.0,5.1,0,AGE
2302,Cooper Kinney,,,22,batter,852.0,208.0,0,0,PA|GP
3874,Cristhian Vaquero,,,21,batter,764.0,200.0,0,0,PA|GP
4002,Cristian Hernandez,,,22,batter,54.0,85.0,0,0,GP
6576,Cristofer Torin,,,20,batter,696.0,158.0,0,0,PA|GP
