Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2010,"Patrick Schuster","ARI","R",19,76.2,0.31196581,1.671428571,0.168888888,0.52,0.311111111,0.185714285,0.042857142,0.42194093,0.23206751,0.34599156,0.20034542,155,424,579,"10029"
2011,"Patrick Schuster","ARI","A",20,119,0.28125,1.197080291,0.132564841,0.472622478,0.39481268,0.204379562,0.05109489,0.41944444,0.28888889,0.29166667,0.25185185,192,618,810,"10029"
2012,"Keyvius Sampson","SDP","AA",21,122.1,0.28698225,1.05109489,0.156156156,0.432432432,0.411411411,0.145985401,0.08029197,0.43529412,0.25294118,0.31176471,0.09305761,799,1232,2031,"10039"
2011,"Keyvius Sampson","SDP","A",20,118,0.26545455,0.769230769,0.160583941,0.364963503,0.474452554,0.269230769,0.061538461,0.38515901,0.25441696,0.36042403,0.34639831,224,720,944,"10039"
2006,"Omar Beltre","TEX","R",24,66,0.25153374,,,,,,,,,,,,,,"10259"
2006,"Ryan Tucker","FLA","A",19,131.1,0.30362117,,,,,,,,,,,,,,"1062"
2006,"Steve Delabar","SDP","A",22,145,0.29156627,,,,,,,,,,,,,,"11827"
2013,"Chris Dwyer","KCR","AAA",25,159.2,0.26150628,0.759336099,0.123966942,0.378099173,0.497933884,0.203319502,0.062240663,0.46435845,0.27087576,0.26476578,0.08834877,1021,1571,2592,"10045"
2011,"Chris Dwyer","KCR","AA",23,141.1,0.28277635,0.936781609,0.142493638,0.414758269,0.442748091,0.206896551,0.08045977,0.43069307,0.26485149,0.30445545,0.09027493,1016,1421,2437,"10045"
2006,"Junior Herndon","KCR","AA",27,160,0.32472325,,,,,,,,,,,,,,"1005716"
2013,"Tyler Matzek","COL","AA",22,142.1,0.30593607,1.114649681,0.231481481,0.405092592,0.363425925,0.216560509,0.082802547,0.37193764,0.26503341,0.36302895,0.07862303,931,1422,2353,"10058"
2012,"Tyler Matzek","COL","A+",21,142.1,0.32647815,1.071895424,0.178756476,0.424870466,0.396373056,0.215686274,0.045751633,0.3857868,0.25126904,0.36294416,0.20997375,527,997,1524,"10058"
2006,"R.A. Dickey","TEX","AAA",31,131.2,0.27529412,,,,,,,,,,,,,,"1245"
2006,"Colby Lewis","DET","AAA",26,147.2,0.30652174,,,,,,,,,,,,,,"1259"
2010,"Brooks Raley","CHC","A+",22,136.1,0.32946636,1.241830065,0.207852193,0.438799076,0.353348729,0.241830065,0.058823529,0.45227273,0.24090909,0.30681818,0.25292242,199,742,941,"10061"
2013,"Brooks Raley","CHC","AAA",25,141.1,0.28603104,1.274390243,0.169265033,0.465478841,0.365256124,0.231707317,0.079268292,0.43939394,0.23376623,0.32683983,0.08911346,782,1395,2177,"10061"
2011,"Brooks Raley","CHC","AA",23,136.1,0.32421053,1.118644067,0.183006535,0.431372549,0.385620915,0.163841807,0.09039548,0.41803279,0.27254098,0.30942623,0.07755851,816,1363,2179,"10061"
2013,"Johnny Hellweg","MIL","AAA",24,125.2,0.27019499,2.234042553,0.148459383,0.588235294,0.263305322,0.265957446,0.063829787,0.43835616,0.20547945,0.35616438,0.07973734,925,1207,2132,"10065"
