rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
1,oak,32,133,547184,Michael Kelly,6,0.95,7.1,3,0,0,4,5,0,22,27,112,0.0,0,2,0,1,0,0,0,0,,,,
2,tex,25,140,668390,Cole Winn,10,1.08,13.0,8,0,0,6,9,0,39,52,200,0.0,0,2,0,0,0,0,0,0,,,,
3,atl,27,144,689266,Dylan Dodd,8,0.55,7.1,2,0,0,2,6,0,22,25,104,0.0,0,0,0,0,0,0,0,0,,,,
4,lad,29,119,656629,Michael Kopech,6,1.4,5.0,3,0,0,4,6,0,15,22,83,0.0,0,4,0,0,0,0,0,0,RV,RV,10412,RP
5,kc,30,118,640451,Hunter Harvey,6,0.19,5.1,1,0,0,0,7,0,16,17,79,0.0,0,3,0,0,0,0,0,0,,,,
6,lad,29,119,656629,Michael Kopech,6,1.4,5.0,3,0,0,4,6,0,15,22,83,0.0,0,4,0,0,0,0,0,0,RV,RV,10412,RP
7,lad,30,119,623465,Evan Phillips,7,1.06,5.2,4,0,0,2,6,0,17,22,92,0.0,1,2,0,0,0,0,0,0,,,,
8,kc,30,118,640451,Hunter Harvey,6,0.19,5.1,1,0,0,0,7,0,16,17,79,0.0,0,3,0,0,0,0,0,0,,,,
9,chc,30,112,623167,Chris Flexen,14,0.88,24.0,14,3,2,7,13,1,72,89,346,0.75,1,0,0,4,0,0,0,0,,,,
10,sf,25,137,678495,Randy Rodríguez,33,0.74,34.0,19,5,3,6,49,1,102,126,508,0.79,1,10,1,3,1,0,0,0,DRO,DRO,12305,RP
11,pit,30,134,664875,Justin Lawrence,11,0.97,11.1,5,1,1,6,15,0,34,44,172,0.79,0,3,1,1,0,0,0,0,,,,
12,min,35,142,543056,Danny Coulombe,26,0.87,20.2,14,2,2,4,24,0,62,79,307,0.87,2,2,0,1,0,1,0,0,LFB,LFB,9844,RP
13,sf,27,137,669062,Erik Miller,32,1.48,26.1,20,3,3,19,18,0,79,113,429,1.03,0,9,2,4,0,0,0,0,,,,
14,mil,27,158,676879,Aaron Ashby,8,0.96,15.2,13,2,2,2,18,1,47,59,223,1.15,1,0,0,0,0,0,0,0,,,,
15,sea,26,136,662253,Andrés Muñoz,30,0.81,29.2,14,6,4,10,40,1,89,114,475,1.21,18,0,4,3,0,0,0,0,LFB,LFB,11526,RP
16,sf,34,137,643511,Tyler Rogers,38,0.69,36.1,21,5,5,4,31,2,109,130,439,1.24,0,17,1,3,2,0,0,0,WIZ,WIZ,11644,RP
17,hou,29,117,681869,Shawn Dubin,18,1.13,20.1,16,3,3,7,18,2,61,81,303,1.33,0,6,1,2,0,0,0,0,,,,
18,det,35,116,592454,Tommy Kahnle,32,0.75,33.1,16,6,5,9,29,3,100,124,471,1.35,8,10,3,0,0,0,0,0,HAM,HAM,9653,RP
19,bos,37,111,547973,Aroldis Chapman,36,0.82,33.0,17,6,5,10,48,2,99,126,484,1.36,14,2,1,3,2,0,0,0,LAW,LAW,8616,RP
20,fa,27,451,668970,Gavin Hollowell,5,1.26,6.1,6,1,1,2,5,1,19,26,108,1.42,0,0,0,0,0,0,0,0,,,,
21,nyy,32,121,673540,Kodai Senga,13,1.11,73.2,51,15,12,31,70,4,221,293,1175,1.47,0,0,0,7,3,13,0,0,B2J,B2J,12776,SP
22,laa,36,108,519326,Hunter Strickland,16,1.08,17.2,11,4,3,8,10,1,53,70,262,1.53,1,2,1,1,2,0,0,0,,,,
23,tex,35,140,543135,Nathan Eovaldi,12,0.81,69.1,46,14,12,10,73,4,208,266,1065,1.56,0,0,0,4,3,12,1,1,HAM,HAM,9007,SP
