Unique Player ID Database,,next: 7940,,,,No Accents ,,Approved Dupe,Report an Issue
Player Name,Team,Pos,UPID,Alternate Name 1,Alternate Name 2,Alternate Name 3,,,
A.J. Alexy,TEX,RHP,1993,A.J Alexy,,A.J. Alexy,,FALSE,
A.J. Blubaugh,HOU,RHP,7202,,,A.J. Blubaugh,,FALSE,
A.J. Ewing,NYM,2B,7284,,,A.J. Ewing,,FALSE,
A.J. Ladwig,MIA,P,4232,,,A.J. Ladwig,,FALSE,
A.J. Minter,ATL,P,1994,AJ Minter,,A.J. Minter,,FALSE,
A.J. Pollock,CWS,OF,4331,,,A.J. Pollock,,FALSE,
A.J. Puk,MIA,P,4080,AJ Puk,,A.J. Puk,,FALSE,
A.J. Vukovich,AZ,3B,3537,,,A.J. Vukovich,,FALSE,
Aaron Antonini,STL,C,6015,,,Aaron Antonini,,FALSE,
Aaron Ashby,MIL,P,1995,,,Aaron Ashby,,FALSE,
Aaron Bracho,CLE,SS,6014,,,Aaron Bracho,,FALSE,
Aaron Brooks,SD,P,1996,,,Aaron Brooks,,FALSE,
Aaron Bummer,ATL,RP,1997,,,Aaron Bummer,,FALSE,
Aaron Civale,TB,SP,1998,,,Aaron Civale,,FALSE,
Aaron Fletcher,SF,P,1999,,,Aaron Fletcher,,FALSE,
Aaron Haase,DET,RP,6013,,,Aaron Haase,,FALSE,
Aaron Hernandez,LAA,P,6302,,,Aaron Hernandez,,FALSE,
Aaron Hicks,LAA,CF,2000,,,Aaron Hicks,,FALSE,
Aaron Judge,NYY,CF,1886,,,Aaron Judge,,FALSE,
Aaron Loup,LAA,P,1925,,,Aaron Loup,,FALSE,
Aaron McKeithan,STL,C,6012,,,Aaron McKeithan,,FALSE,
Aaron Nola,PHI,P,2001,,,Aaron Nola,,FALSE,
Aaron Northcraft,SD,P,2002,,,Aaron Northcraft,,FALSE,
Aaron Palensky,NYY,OF,6011,,,Aaron Palensky,,FALSE,
Aaron Sabato,MIN,1B,3728,,,Aaron Sabato,,FALSE,
Aaron Sanchez,MIN,P,2003,,,Aaron Sanchez,,FALSE,
Aaron Schunk,COL,3B,4507,,,Aaron Schunk,,FALSE,
Aaron Shackelford,PIT,"1B,2B",6010,,,Aaron Shackelford,,FALSE,
Aaron Shortridge,PIT,P,2069,,,Aaron Shortridge,,FALSE,
Aaron Slegers,LAA,P,2004,,,Aaron Slegers,,FALSE,
Aaron Whitefield,LAA,OF,4417,,,Aaron Whitefield,,FALSE,
Aaron Zavala,TEX,OF,2005,,,Aaron Zavala,,FALSE,
Abdias De La Cruz,AZ,SS,6034,,,Abdias De La Cruz,,FALSE,
Abdiel Layer,SF,"2B,3B",6009,,,Abdiel Layer,,FALSE,
Abel Bastidas,DET,SS,2006,,,Abel Bastidas,,FALSE,
Abiatal Avelino,CHC,SS,6444,,,Abiatal Avelino,,FALSE,
Abiezel Ramirez,TB,"2B,3B",6008,,,Abiezel Ramirez,,FALSE,
Abimelec Ortiz,TEX,1B,6007,,,Abimelec Ortiz,,FALSE,
Abner Uribe,MIL,P,6097,,,Abner Uribe,,FALSE,
Abraham Almonte,NYM,OF,2007,,,Abraham Almonte,,FALSE,
Abraham Nunez Jr.,,,7430,Abraham Nunez Jr,Abraham Nunez,Abraham Nunez Jr.,,FALSE,
Abraham Toro,OAK,"2B,3B",2008,,,Abraham Toro,,FALSE,
Abrahan Gutierrez,PIT,C,6006,,,Abrahan Gutierrez,,FALSE,
Abrahan Ramirez,MIA,2B,3148,,,Abrahan Ramirez,,FALSE,
Adael Amador,COL,SS,3527,,,Adael Amador,,FALSE,
Adalberto Mondesi,KC,SS,2009,,,Adalberto Mondesi,,FALSE,
Adam Cimber,LAA,RP,2010,,,Adam Cimber,,FALSE,
Adam Conley,TB,P,2011,,,Adam Conley,,FALSE,
Adam Duvall,BOS,CF,2012,,,Adam Duvall,,FALSE,
Adam Eaton,LAA,OF,2013,,,Adam Eaton,,FALSE,
Adam Engel,SD,CF,2014,,,Adam Engel,,FALSE,
Adam Frazier,KC,"2B,OF",4311,,,Adam Frazier,,FALSE,
Adam Hachman,,LHP,7019,,,Adam Hachman,,FALSE,
Adam Hackenberg,CWS,C,6005,,,Adam Hackenberg,,FALSE,
Adam Hall,BAL,SS,6004,,,Adam Hall,,FALSE,
Adam Haseley,CWS,OF,2015,,,Adam Haseley,,FALSE,
Adam Kerner,SD,C,6003,,,Adam Kerner,,FALSE,
Adam Kloffenstein,STL,SP,3868,,,Adam Kloffenstein,,FALSE,
Adam Kolarek,LAA,RP,2016,,,Adam Kolarek,,FALSE,
Adam Macko,TOR,SP,2017,,,Adam Macko,,FALSE,
Adam Maier,ATL,RHP,4554,,,Adam Maier,,FALSE,
Adam Mazur,SD,SP,3931,,,Adam Mazur,,FALSE,
Adam McCreery,LAA,P,2072,,,Adam McCreery,,FALSE,
Adam Morgan,HOU,P,2018,,,Adam Morgan,,FALSE,
Adam Oller,OAK,P,4280,,,Adam Oller,,FALSE,
Adam Ottavino,NYM,P,2019,,,Adam Ottavino,,FALSE,
Adam Scott,CLE,P,4297,,,Adam Scott,,FALSE,
Adam Seminaris,LAA,P,6331,,,Adam Seminaris,,FALSE,
Adam Serwinowski,CIN,P,7169,,,Adam Serwinowski,,FALSE,
