FBP_Team,age,bats,birth_date,contract_type,fypd,fypd_rank,height,height_weight,manager,mlb_id,mlb_primary_position,name,player_type,position,rank,status,team,throws,upid,weight,yahoo_id,years_simple
DRO,25,R,2000-09-17,Purchased Contract,False,,"6' 3""",,Andromedans,687075,P,Brandon Sproat,Farm,RHP,160,[5] TC1,NYM,R,3930,215,,TC 1
DRO,,,,Development Cont.,False,,,,Andromedans,,,Maddux Bruns,Farm,LHP,1772,[7] P,LAD,,2919,,,P
DRO,24,L,2001-08-15,Purchased Contract,False,,"6' 1""",,Andromedans,690987,CF,Robert Hassell III,Farm,OF,1968,[7] P,WSH,L,3455,186,,P
DRO,23,R,2002-04-02,Purchased Contract,False,,"6' 0""",,Andromedans,694377,2B,Nick Yorke,Farm,2B,270,[7] P,PIT,R,3495,210,,P
DRO,24,R,2001-03-30,Purchased Contract,False,,"6' 3""",,Andromedans,687847,P,Marc Church,Farm,RHP,903,[7] P,TEX,R,3997,189,,P
DRO,25,R,2000-08-19,Farm Contract,False,,"6' 0""",,Andromedans,700270,P,Yilber Diaz,Farm,RHP,2196,[7] P,AZ,R,4668,190,,P
DRO,,,,Purchased Contract,False,,,,Andromedans,,,Ryan Ritter,Farm,SS,2018,[7] P,COL,,6035,,,P
DRO,22,S,2003-07-05,Purchased Contract,False,,"6' 2""",,Andromedans,699073,C,Thayron Liranzo,Farm,C,320,[7] P,DET,R,6649,195,,P
DRO,20,L,2005-01-19,Development Cont.,False,,"5' 10""",,Andromedans,814307,CF,Zyhir Hope,Farm,OF,20,[7] P,LAD,L,7635,193,,P
DRO,,,,Purchased Contract,False,,,,Andromedans,,,Tyson Neighbors,Farm,RHP,2127,[7] P,SD,,7642,,,P
DRO,22,S,2003-05-31,Farm Contract,False,,"5' 11""",,Andromedans,701388,P,Jurrangelo Cijntje,Farm,SHP,90,[7] P,SEA,S,7709,200,,P
DRO,23,R,2002-01-20,Purchased Contract,False,,"5' 11""",,Andromedans,675085,1B,Jonathon Long,Farm,1B,1571,[7] P,CHC,R,7743,210,,P
B2J,22,S,2003-08-25,Farm Contract,False,,"5' 11""",,Btwn2Jackies,695490,SS,Edwin Arroyo,Farm,SS,240,[7] P,CIN,R,2436,173,,P
RV,23,R,2002-07-17,Purchased Contract,False,,"6' 0""",,Rick Vaughn,691783,SS,Jordan Lawlar,Farm,SS,1574,[7] P,AZ,R,3445,190,,P
B2J,21,R,2004-03-01,Purchased Contract,False,,"6' 0""",,Btwn2Jackies,694194,OF,Miguel Bleis,Farm,OF,382,[7] P,BOS,R,3579,170,,P
B2J,22,L,2003-11-08,Purchased Contract,False,,"5' 8""",,Btwn2Jackies,694208,C,Moises Ballesteros,Farm,C,53,[7] P,CHC,R,3790,195,,P
B2J,21,L,2004-10-22,Development Cont.,False,,"6' 5""",,Btwn2Jackies,703155,OF,Lazaro Montes,Farm,OF,29,[7] P,SEA,R,3809,210,,P
B2J,22,R,2003-11-03,Purchased Contract,False,,"5' 7""",,Btwn2Jackies,702518,SS,Jett Williams,Farm,SS,30,[7] P,NYM,R,3899,175,,P
B2J,24,L,2001-05-14,Purchased Contract,False,,"6' 7""",,Btwn2Jackies,682987,CF,Spencer Jones,Farm,OF,99,[7] P,NYY,L,3910,240,,P
B2J,,,,Farm Contract,False,,,,Btwn2Jackies,,,Luis Morales,Farm,RHP,1754,[7] P,ATH,,4628,,,P
B2J,19,L,2006-06-25,Farm Contract,False,,"6' 1""",,Btwn2Jackies,806967,OF,Brailer Guerrero,Farm,OF,594,[7] P,TB,R,6145,215,,P
B2J,21,L,2004-12-21,Purchased Contract,False,,"6' 0""",,Btwn2Jackies,703601,OF,Max Clark,Farm,OF,8,[7] P,DET,L,6566,205,,P
B2J,23,R,2002-01-17,Farm Contract,False,,"5' 9""",,Btwn2Jackies,694371,SS,Tommy Troy,Farm,2B,107,[7] P,AZ,R,6569,197,,P
B2J,19,S,2006-05-17,Farm Contract,False,,"5' 8""",,Btwn2Jackies,806988,SS,Welbyn Francisca,Farm,SS,469,[7] P,CLE,R,6579,148,,P
B2J,23,L,2002-05-05,Farm Contract,False,,"6' 1""",,Btwn2Jackies,801670,3B,Mike Boeve,Farm,3B,879,[7] P,MIL,R,6705,210,,P
B2J,21,L,2004-09-09,Purchased Contract,False,,"6' 2""",,Btwn2Jackies,806071,OF,Jonny Farmelo,Farm,OF,75,[7] P,SEA,R,6723,205,,P
B2J,25,R,2000-05-22,Purchased Contract,False,,"6' 5""",,Btwn2Jackies,805673,P,Zebby Matthews,Farm,RHP,2222,[7] P,MIN,R,6988,225,,P
B2J,23,R,2002-01-18,Farm Contract,False,,"6' 4""",,Btwn2Jackies,811315,P,Brody Hopkins,Farm,RHP,103,[7] P,TB,R,7470,200,,P
B2J,21,L,2004-10-07,Farm Contract,False,,"5' 9""",,Btwn2Jackies,807276,OF,Dante Nori,Farm,OF,121,[7] P,PHI,L,7578,190,,P
RV,22,R,2003-01-16,Purchased Contract,False,,"6' 3""",,Rick Vaughn,695505,P,Chase Burns,Farm,RHP,1161,[7] P,CIN,R,7602,210,,P
B2J,19,L,2006-08-14,Development Cont.,False,,"6' 2""",,Btwn2Jackies,815520,OF,Braylon Payne,Farm,OF,247,[7] P,MIL,L,7609,186,,P
B2J,23,R,2002-09-03,Purchased Contract,False,,"6' 5""",,Btwn2Jackies,696292,P,Ben Hess,Farm,RHP,128,[7] P,NYY,R,7662,255,,P
,,,,,False,,,,,,,Dedniel Nunez,Farm,,1273,[7] P,,,7283,,,P
CFL,,,,Purchased Contract,False,,,,Country Fried Lamb,,,Alejandro Rosario,Farm,RHP,956,[7] P,TEX,,6842,,,P
CFL,20,L,2005-07-03,Development Cont.,False,,"6' 3""",,Country Fried Lamb,800614,SS,Bryce Rainer,Farm,SS,37,[7] P,DET,R,7681,195,,P
CFL,22,L,2003-12-17,Purchased Contract,False,,"6' 4""",,Country Fried Lamb,702674,P,Caden Dana,Farm,RHP,1096,[7] P,LAA,R,4612,215,,P
CFL,22,R,2003-06-25,Purchased Contract,False,,"6' 2""",,Country Fried Lamb,700246,SS,Carson Williams,Farm,SS,50,[7] P,TB,R,2236,180,,P
CFL,22,L,2003-07-03,Farm Contract,False,,"6' 0""",,Country Fried Lamb,695600,C,Carter Jensen,Farm,C,39,[7] P,KC,R,2237,210,,P
CFL,23,L,2002-02-23,Purchased Contract,False,,"5' 8""",,Country Fried Lamb,694876,C,Cooper Ingle,Farm,C,126,[7] P,CLE,R,7112,190,,P
CFL,,,,Farm Contract,False,,,,Country Fried Lamb,,,Daylen Lile,Farm,OF,1272,[7] P,WSH,,2362,,,P
CFL,20,S,2005-09-15,Purchased Contract,False,,"6' 1""",,Country Fried Lamb,806958,SS,Felnin Celesten,Farm,SS,196,[7] P,SEA,R,4675,175,,P
CFL,21,R,2004-09-20,Farm Contract,False,,"6' 2""",,Country Fried Lamb,804541,P,Gary Gill Hill,Farm,RHP,435,[7] P,TB,R,6801,160,,P
CFL,21,L,2004-05-18,Farm Contract,False,,"6' 7""",,Country Fried Lamb,700649,P,Henry Lalane,Farm,LHP,388,[7] P,NYY,L,7163,211,,P
CFL,20,S,2005-05-19,Purchased Contract,False,,"6' 0""",,Country Fried Lamb,702693,OF,Jaison Chourio,Farm,OF,254,[7] P,CLE,R,3782,188,,P
CFL,21,L,2004-09-23,Farm Contract,False,,"6' 4""",,Country Fried Lamb,800522,C,Josue Briceño,Farm,C/1B,33,[7] P,DET,R,7199,200,,P
CFL,22,L,2004-01-13,Purchased Contract,False,,"6' 2""",,Country Fried Lamb,702222,OF,Justin Crawford,Farm,OF,54,[7] P,PHI,R,3895,188,,P
CFL,19,R,2006-11-17,Farm Contract,False,,"6' 2""",,Country Fried Lamb,815889,OF,Paulino Santana,Farm,OF,729,[7] P,TEX,R,7256,180,,P
CFL,21,R,2004-11-15,Purchased Contract,False,,"6' 0""",,Country Fried Lamb,806230,SS,Sammy Stafura,Farm,SS,177,[7] P,CIN,R,6646,188,,P
CFL,22,R,2003-04-25,Development Cont.,False,,"6' 0""",,Country Fried Lamb,814409,SS,Seaver King,Farm,SS,301,[7] P,WSH,R,7595,195,,P
CFL,19,L,2006-06-18,Farm Contract,False,,"5' 9""",,Country Fried Lamb,815154,OF,Slade Caldwell,Farm,OF,106,[7] P,AZ,L,7623,182,,P
CFL,20,R,2005-06-17,Purchased Contract,False,,"6' 0""",,Country Fried Lamb,800311,P,Didier Fuentes,Farm,RHP,400,[7] P,ATL,R,7304,170,,P
CFL,23,L,2002-08-28,Purchased Contract,False,,"6' 0""",,Country Fried Lamb,683953,2B,Travis Bazzana,Farm,2B,17,[7] P,CLE,R,7677,199,,P
