rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
1,ari,23,,Ryan Waldschmidt,814439,484,114,140,27,4,18,.419,.892,.473,78,96,106,29,10,235,229,.289,OF,ALL (2)
1,kc,22,,Carter Jensen,695600,487,84,142,26,5,23,.379,.886,.507,89,69,134,10,1,199,247,.292,C,ALL (3)
1,bal,21,,Samuel Basallo,694212,379,59,91,23,0,27,.337,.852,.515,82,50,106,0,0,172,195,.240,C,ALL (2)
1,cle,23,,Travis Bazzana,683953,302,71,74,17,5,9,.389,.813,.424,39,66,91,12,2,110,128,.245,2B,ALL (3)
1,hou,23,,Brice Matthews,694728,461,76,116,18,7,21,.359,.817,.458,73,72,159,42,11,214,211,.252,SS,ALL (2)
1,bos,20,,Franklin Arias,808265,479,62,133,27,1,8,.335,.723,.388,66,38,53,12,9,169,186,.278,SS,ALL (3)
1,tb,22,,Carson Williams,700246,488,83,100,15,5,28,.299,.727,.428,67,62,198,24,7,226,209,.205,SS,ALL (2)
1,tex,19,,Sebastian Walcott,806964,474,71,121,19,2,13,.355,.741,.386,59,70,108,32,10,209,183,.255,SS,AA
1,mil,18,,Jesús Made,815908,453,81,129,28,6,6,.379,.792,.413,61,67,108,47,13,193,187,.285,SS,ALL (3)
1,la,20,,Josue De Paula,800543,360,65,90,16,1,12,.391,.791,.400,44,82,91,32,8,171,144,.250,CF,ALL (2)
1,pit,19,,Konnor Griffin,804606,484,117,161,23,4,21,.415,.942,.527,94,50,122,65,13,180,255,.333,SS,ALL (3)
1,col,18,,Ethan Holliday,815787,71,14,17,4,0,2,.357,.737,.380,6,12,33,0,0,32,27,.239,SS,A
1,sd,19,,Ethan Salas,806956,32,5,6,1,0,0,.325,.544,.219,5,6,5,2,0,12,7,.188,C,AA
1,oak,19,,Leo De Vries,815888,455,72,116,28,8,15,.355,.806,.451,74,66,107,11,8,204,205,.255,SS,ALL (3)
1,cin,22,,Sal Stewart,701398,492,89,149,35,0,25,.373,.899,.526,88,49,92,17,3,190,259,.303,3B,ALL (3)
1,det,21,,Kevin McGonigle,805808,331,68,101,31,2,19,.408,.991,.583,80,59,46,10,7,145,193,.305,SS,ALL (3)
1,min,20,,Walker Jenkins,805805,308,56,88,17,2,10,.399,.850,.451,34,50,76,17,4,130,139,.286,OF,ALL (4)
1,stl,23,,JJ Wetherholt,802139,408,82,125,28,2,17,.421,.931,.510,59,72,73,23,3,162,208,.306,SS,ALL (2)
1,chc,23,,Owen Caissie,683357,396,78,111,29,2,23,.376,.914,.538,59,58,132,5,4,171,213,.280,RF,ALL (2)
1,was,18,,Eli Willits,816113,50,7,15,1,1,0,.397,.757,.360,5,7,12,2,0,18,18,.300,SS,A
1,cws,22,,Braden Montgomery,695731,448,64,121,34,4,12,.360,.804,.444,68,57,130,14,7,192,199,.270,OF,ALL (3)
1,nyy,20,,George Lombard Jr.,806146,473,90,111,32,5,9,.367,.748,.381,49,87,146,35,8,172,180,.235,SS,ALL (2)
1,sf,21,,Bryce Eldridge,805811,412,47,103,23,0,25,.330,.818,.488,88,49,140,1,1,199,201,.250,1B,ALL (4)
1,sea,20,,Colt Emerson,806068,506,82,144,28,6,16,.383,.841,.458,78,71,105,14,5,225,232,.285,SS,ALL (3)
2,bal,24,,Dylan Beavers,687637,452,94,129,19,3,22,.409,.896,.487,65,94,112,25,7,148,220,.285,RF,ALL (2)
2,tex,18,,Gavin Fien,815818,41,4,9,3,1,0,.267,.608,.341,7,3,11,1,0,21,14,.220,SS,A
2,kc,21,,Blake Mitchell,805810,197,28,43,9,1,3,.390,.710,.320,19,53,81,12,5,93,63,.218,C,ALL (2)
2,was,22,,Harry Ford,695670,380,69,107,18,0,16,.406,.861,.455,75,74,91,7,4,200,173,.282,C,ALL (2)
2,la,20,,Zyhir Hope,814307,458,69,122,29,3,13,.376,.804,.428,80,79,143,27,6,249,196,.266,CF,ALL (2)
2,col,22,,Charlie Condon,809707,365,59,98,16,3,14,.376,.820,.444,58,52,112,2,2,168,162,.268,OF,ALL (3)
2,cle,24,,Chase DeLauter,800050,148,28,39,8,1,7,.379,.852,.473,24,28,28,1,0,63,70,.264,RF,ALL (2)
2,tb,20,,Theo Gillen,815394,243,62,65,12,1,5,.433,.820,.387,18,64,75,36,3,96,94,.267,OF,A
2,det,21,,Max Clark,703601,431,85,117,17,5,14,.403,.835,.432,67,94,90,19,2,168,186,.271,OF,ALL (2)
2,mia,22,,Aiva Arquette,804109,99,11,24,5,0,1,.350,.673,.323,10,17,27,7,2,55,32,.242,SS,A+
2,mil,19,,Luis Peña,821270,374,69,101,18,6,9,.335,.757,.422,64,34,68,44,7,169,158,.270,SS,ALL (2)
2,sf,18,,Josuar Gonzalez,829034,191,52,55,10,5,4,.404,.859,.455,24,37,36,33,5,84,87,.288,SS,ROK
2,ari,19,,Slade Caldwell,815154,407,83,106,29,3,3,.408,.777,.369,38,91,138,25,10,170,150,.260,OF,ALL (2)
2,cin,19,,Alfredo Duno,806957,390,78,112,32,2,18,.430,.948,.518,81,95,91,6,6,165,202,.287,C,A
2,chc,22,,Moises Ballesteros,694208,503,74,158,31,2,15,.386,.859,.473,87,58,79,5,2,223,238,.314,C,ALL (2)
2,min,23,,Kaelen Culpepper,701785,454,77,131,16,3,20,.375,.844,.469,64,50,90,25,4,151,213,.289,SS,ALL (2)
2,nym,22,,Carson Benge,701807,441,87,124,25,7,15,.385,.857,.472,73,68,92,22,4,173,208,.281,OF,ALL (3)
2,phi,21,,Aidan Miller,805795,432,82,114,27,2,14,.392,.825,.433,42,82,123,59,15,162,187,.264,SS,ALL (2)
3,mil,21,,Cooper Pratt,806198,437,71,104,22,1,8,.343,.691,.348,62,67,80,31,5,195,152,.238,SS,AA
3,stl,19,,Rainiel Rodriguez,823787,301,59,83,22,1,20,.399,.954,.555,63,54,65,4,5,138,167,.276,C,ALL (3)
3,tor,20,,Arjun Nimmala,805796,473,70,106,29,3,13,.313,.694,.381,61,55,116,17,3,234,180,.224,SS,A+
3,sea,21,,Lazaro Montes,703155,490,76,118,19,7,32,.354,.858,.504,89,83,169,7,3,268,247,.241,OF,ALL (2)
3,atl,19,,Tate Southisene,816111,64,10,14,3,1,0,.242,.539,.297,6,1,27,3,0,26,19,.219,SS,A
3,det,21,,Josue Briceño,800522,364,60,97,19,3,20,.383,.883,.500,76,66,87,1,1,167,182,.266,C,ALL (2)
3,hou,23,,Walker Janek,801075,358,58,94,21,2,12,.333,.766,.433,46,30,106,30,2,145,155,.263,C,A+
3,cle,21,,Angel Genao,694197,335,49,88,17,4,5,.332,.714,.382,42,35,58,6,1,154,128,.263,3B,ALL (2)
3,sf,21,,Gavin Kilen,702264,39,5,8,1,1,0,.279,.561,.282,5,3,5,0,0,19,11,.205,SS,A
3,la,20,,Eduardo Quintero,808234,433,101,127,22,7,19,.415,.923,.508,69,88,123,47,13,210,220,.293,OF,ALL (2)
3,col,23,,Cole Carrigg,694249,477,81,113,18,6,15,.316,.710,.394,64,45,145,46,10,182,188,.237,OF,AA
3,ari,19,,Kayson Cunningham,815617,47,2,12,1,0,0,.308,.585,.277,4,3,15,1,1,25,13,.255,SS,A
3,nym,22,,Jett Williams,702518,486,91,127,34,7,17,.363,.828,.465,52,76,131,34,9,178,226,.261,SS,ALL (2)
3,bal,22,,Ike Irish,702610,74,9,17,2,0,1,.296,.593,.297,12,6,19,3,0,39,22,.230,C,A
