rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
1,tor,22,141,702056,Trey Yesavage,28,1.03,112.0,67,44,39,48,176,8,336,451,,3.13,0,0,0,6,1,ALL (5)
1,nym,24,121,690997,Nolan McLean,29,1.10,161.2,112,48,42,66,184,12,485,655,,2.34,0,0,0,13,6,ALL (3)
1,mia,21,146,806258,Thomas White,21,1.18,89.2,55,25,23,51,145,2,269,376,,2.31,0,0,0,4,3,ALL (3)
1,phi,22,143,691725,Andrew Painter,26,1.49,118.0,129,72,69,47,123,20,354,520,,5.26,0,0,0,5,8,ALL (2)
1,atl,19,144,807284,Cam Caminiti,17,1.26,70.0,60,28,24,28,90,5,210,295,,3.09,0,0,0,2,4,ALL (2)
2,stl,21,138,824604,Liam Doyle,2,1.36,3.2,3,1,1,2,6,1,11,15,,2.45,0,0,0,0,0,ALL (2)
2,pit,23,134,696149,Bubba Chandler,31,1.35,131.1,120,60,59,57,152,10,394,566,,4.04,1,0,0,9,7,ALL (2)
2,sd,18,135,828244,Kruz Schoolcraft,1,2.40,1.2,1,2,2,3,4,0,5,9,,10.80,0,0,0,0,0,A
2,nyy,22,147,801739,Carlos Lagrange,24,1.20,120.0,82,51,47,62,168,8,360,503,,3.53,0,0,0,11,8,ALL (2)
2,ana,23,108,696270,Ryan Johnson,26,1.11,72.0,65,28,24,15,81,7,216,291,,3.00,1,1,2,5,4,ALL (2)
2,cws,22,145,702273,Noah Schultz,17,1.67,73.0,77,40,38,45,76,6,219,327,,4.68,0,0,0,4,5,ALL (2)
2,bos,23,111,801139,Payton Tolle,27,1.08,108.0,86,47,42,31,152,15,324,438,,3.50,1,0,0,3,6,ALL (4)
2,atl,22,144,702275,JR Ritchie,26,1.01,140.0,87,46,41,54,140,12,420,564,,2.64,0,0,0,8,6,ALL (3)
3,ana,23,108,691946,George Klassen,25,1.46,108.2,112,70,63,47,134,8,326,484,,5.22,0,0,0,4,12,ALL (2)
3,sd,19,135,814232,Humberto Cruz,14,1.53,38.0,41,32,32,17,35,8,114,171,,7.58,0,0,0,0,7,ALL (2)
3,chc,24,112,694393,Jaxon Wiggins,19,1.03,78.0,44,24,19,36,97,4,234,313,,2.19,0,0,0,3,4,ALL (3)
3,tb,23,139,811315,Brody Hopkins,25,1.25,116.0,85,48,35,60,141,7,348,492,,2.72,0,0,0,5,7,AA
3,oak,22,133,695611,Gage Jump,26,1.10,112.2,90,50,41,34,131,7,338,461,,3.28,0,0,0,9,7,ALL (2)
3,nyy,22,147,695684,Elmer Rodríguez,27,1.07,150.0,104,52,43,57,176,3,450,607,,2.58,0,0,0,11,8,ALL (3)
3,mia,22,146,702281,Robby Snelling,25,1.11,136.0,112,43,38,39,166,10,408,547,,2.51,0,0,0,9,7,ALL (2)
3,tex,22,140,692030,Jose Corniell,14,0.91,39.2,26,14,11,10,42,2,119,155,,2.50,0,0,0,1,3,ALL (4)
3,was,21,120,805809,Travis Sykora,12,0.77,45.1,18,9,9,17,79,0,136,169,,1.79,0,0,0,3,1,ALL (4)
4,oak,23,133,804556,Braden Nett,24,1.47,105.2,107,49,44,48,116,8,317,468,,3.75,0,0,0,6,7,ALL (2)
4,bos,23,111,813349,Connelly Early,25,1.10,119.2,88,44,34,44,161,5,359,493,,2.56,0,0,1,11,5,ALL (3)
4,pit,25,134,682995,Hunter Barco,29,1.19,102.1,73,31,31,49,119,5,307,429,,2.73,0,0,0,5,1,ALL (3)
4,phi,22,143,805906,Gage Wood,1,1.50,2.0,1,1,1,2,5,0,6,9,,4.50,0,0,0,0,1,A
4,sd,20,135,824026,Kash Mayfield,19,1.22,60.2,46,26,20,28,88,2,182,258,,2.97,0,0,0,1,5,A
4,hou,23,117,699044,Miguel Ullola,28,1.35,113.2,75,49,49,78,131,7,341,492,,3.88,1,0,1,7,6,AAA
4,was,21,120,703186,Jarlin Susana,14,1.31,56.1,40,23,22,34,95,3,169,244,,3.51,0,0,0,1,4,ALL (2)
4,sea,19,136,815549,Ryan Sloan,21,1.16,82.0,80,40,34,15,90,5,246,333,,3.73,0,0,0,2,4,ALL (2)
4,nym,22,121,804636,Jonah Tong,27,1.04,132.1,82,40,34,56,201,5,397,529,,2.31,0,0,0,12,8,ALL (3)
4,tex,23,140,692437,Winston Santos,6,1.67,17.1,22,13,13,7,26,0,52,78,,6.75,0,0,0,0,0,ALL (2)
5,was,22,120,691384,Luis Perales,3,1.29,2.1,0,2,2,3,4,0,7,9,,7.71,0,2,0,0,0,ALL (2)
5,col,23,115,701679,Brody Brecht,20,1.36,61.0,48,19,17,35,95,2,183,263,,2.51,0,0,0,1,5,ALL (2)
5,tor,19,141,803516,Johnny King,18,1.31,61.2,44,22,17,37,105,4,185,266,,2.48,0,1,0,1,3,ALL (2)
5,nyy,23,147,701480,Bryce Cunningham,12,1.12,54.1,42,20,17,19,55,4,163,220,,2.82,0,0,0,5,3,A+
5,sd,23,135,700280,Miguel Mendez,21,1.22,95.0,71,38,34,45,118,7,285,402,,3.22,0,0,0,8,7,ALL (3)
