rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts
1,fa,32,133,547184,Michael Kelly,6,0.95,7.1,3,0,0,4,5,0,22,27,112,0.0,0,2,0,1,0,0,0,0
2,fa,27,136,666374,Matt Brash,15,1.05,13.1,9,0,0,5,13,0,40,54,233,0.0,0,7,0,0,0,0,0,0
3,fa,25,140,668390,Cole Winn,10,1.08,13.0,8,0,0,6,9,0,39,52,200,0.0,0,2,0,0,0,0,0,0
4,fa,27,144,689266,Dylan Dodd,7,0.63,6.1,2,0,0,2,5,0,19,22,90,0.0,0,0,0,0,0,0,0,0
5,fa,36,112,519141,Drew Pomeranz,22,0.92,19.2,12,1,0,6,19,0,59,76,285,0.0,1,4,0,2,1,2,0,0
6,fa,29,119,656629,Michael Kopech,6,1.4,5.0,3,0,0,4,6,0,15,22,83,0.0,0,4,0,0,0,0,0,0
7,fa,30,112,623167,Chris Flexen,13,0.87,23.0,13,3,2,7,13,1,69,85,328,0.78,1,0,0,4,0,0,0,0
8,fa,25,137,678495,Randy Rodríguez,33,0.74,34.0,19,5,3,6,49,1,102,126,508,0.79,1,10,1,3,1,0,0,0
9,fa,35,142,543056,Danny Coulombe,26,0.87,20.2,14,2,2,4,24,0,62,79,307,0.87,2,2,0,1,0,1,0,0
10,fa,27,137,669062,Erik Miller,32,1.48,26.1,20,3,3,19,18,0,79,113,429,1.03,0,9,2,4,0,0,0,0
11,fa,27,158,676879,Aaron Ashby,8,0.96,15.2,13,2,2,2,18,1,47,59,223,1.15,1,0,0,0,0,0,0,0
12,fa,25,134,677952,Braxton Ashcraft,8,1.09,14.2,10,2,2,6,12,0,44,59,223,1.23,0,2,0,1,0,1,0,0
13,fa,34,137,643511,Tyler Rogers,38,0.69,36.1,21,5,5,4,31,2,109,130,439,1.24,0,17,1,3,2,0,0,0
14,fa,26,136,662253,Andrés Muñoz,29,0.84,28.2,14,6,4,10,38,1,86,111,460,1.26,18,0,4,2,0,0,0,0
15,fa,29,117,681869,Shawn Dubin,18,1.13,20.1,16,3,3,7,18,2,61,81,303,1.33,0,6,1,2,0,0,0,0
16,fa,35,116,592454,Tommy Kahnle,32,0.75,33.1,16,6,5,9,29,3,100,124,471,1.35,8,10,3,0,0,0,0,0
17,fa,37,111,547973,Aroldis Chapman,35,0.78,32.0,16,6,5,9,45,2,96,121,464,1.41,14,2,1,3,2,0,0,0
18,fa,39,140,455119,Chris Martin,27,0.86,24.1,18,8,4,3,28,1,73,94,329,1.48,2,11,0,0,4,0,0,0
19,fa,27,142,661395,Jhoan Duran,36,1.11,34.1,25,8,6,13,39,0,103,142,556,1.57,10,1,2,4,2,0,0,0
20,fa,29,134,642701,Dennis Santana,34,0.78,33.1,21,7,6,5,26,1,100,124,464,1.62,5,9,1,2,1,0,0,0
21,fa,36,108,519326,Hunter Strickland,15,1.08,16.2,10,4,3,8,9,1,50,66,249,1.62,1,2,1,1,2,0,0,0
22,fa,30,117,656986,Bennett Sousa,22,0.83,27.2,17,5,5,6,34,1,83,104,380,1.63,2,1,0,1,0,0,0,0
23,fa,31,147,596133,Luke Weaver,25,0.8,26.1,13,5,5,8,25,3,79,99,380,1.71,8,6,1,1,2,0,0,0
24,fa,37,112,518489,Ryan Brasier,11,1.06,10.1,8,2,2,3,9,0,31,40,168,1.74,0,1,0,0,0,0,0,0
25,fa,30,144,669276,Dylan Lee,36,0.81,35.2,21,9,7,8,37,5,107,132,526,1.77,2,9,3,1,2,0,0,0
26,fa,26,113,671096,Andrew Abbott,13,0.96,75.1,52,20,15,20,72,8,226,296,1191,1.79,0,0,0,7,1,13,1,1
27,fa,27,109,679775,Kyle Backhus,5,1.0,5.0,4,1,1,1,4,0,15,19,70,1.8,0,2,0,0,0,0,0,0
28,fa,28,117,650556,Bryan Abreu,35,1.25,34.1,24,7,7,19,48,2,103,146,582,1.83,0,19,3,1,3,0,0,0
29,fa,31,117,623352,Josh Hader,32,0.76,34.1,19,8,7,7,53,5,103,131,537,1.83,19,0,0,5,1,0,0,0
30,fa,32,138,664208,Phil Maton,31,1.09,29.1,21,8,6,11,39,0,88,120,484,1.84,2,15,1,1,2,0,0,0
31,fa,23,134,694973,Paul Skenes,16,0.88,102.0,63,24,21,27,106,5,306,390,1579,1.85,0,0,0,4,6,16,1,0
32,fa,33,135,592094,Jason Adam,39,1.26,39.0,31,12,8,18,46,2,117,166,647,1.85,0,17,1,5,3,0,0,0
33,fa,28,141,680704,Nick Sandlin,12,1.45,9.2,8,5,2,6,12,0,29,46,199,1.86,1,2,1,0,2,0,0,0
34,fa,26,118,674444,Steven Cruz,29,0.9,29.0,18,7,6,8,28,2,87,113,393,1.86,0,6,0,2,0,0,0,0
35,fa,25,135,686701,Ryan Bergert,8,0.96,24.0,14,5,5,9,19,2,72,93,381,1.88,0,0,0,1,0,4,0,0
36,fa,30,145,621051,Steven Wilson,25,1.25,24.0,16,5,5,14,22,2,72,103,420,1.88,1,9,2,2,1,0,0,0
37,fa,26,117,686613,Hunter Brown,15,0.92,91.0,56,20,19,28,109,8,273,345,1426,1.88,0,0,0,8,3,15,1,0
38,fa,25,112,694037,Daniel Palencia,26,1.0,28.0,18,7,6,10,30,2,84,109,430,1.93,7,6,1,0,2,0,0,0
39,fa,27,114,663465,Kolby Allard,12,1.27,27.2,31,8,6,4,12,1,83,115,406,1.95,0,2,0,2,0,1,0,0
40,fa,25,113,680689,Lyon Richardson,19,1.09,23.0,17,8,5,8,18,1,69,96,383,1.96,0,2,0,0,1,0,0,0
41,fa,27,139,679358,Eric Orze,25,1.22,32.0,27,8,7,12,29,2,96,131,513,1.97,2,1,0,1,0,0,0,0
42,fa,25,158,682842,Abner Uribe,36,1.16,36.1,27,10,8,15,45,3,109,148,565,1.98,1,20,1,2,1,0,0,0
43,fa,29,112,641745,Brad Keller,33,1.0,36.0,26,10,8,10,36,0,108,143,581,2.0,0,11,2,3,0,1,0,0
44,fa,27,146,806188,Cade Gibson,15,1.21,22.1,20,7,5,7,12,0,67,94,356,2.01,0,1,1,1,3,1,0,0
45,fa,29,134,676755,Isaac Mattson,10,0.6,13.1,5,3,3,3,13,2,40,47,182,2.03,0,1,1,1,0,0,0,0
46,fa,34,109,571946,Shelby Miller,32,1.06,31.0,22,9,7,11,35,3,93,126,483,2.03,8,8,4,3,2,0,0,0
47,fa,31,147,608331,Max Fried,16,0.96,101.0,77,28,23,20,97,7,303,400,1534,2.05,0,0,0,9,2,16,0,0
48,fa,27,137,666808,Camilo Doval,36,1.09,35.0,23,11,8,15,33,1,105,139,529,2.06,12,7,3,3,1,0,0,0
49,fa,29,115,656234,Jake Bird,33,1.19,43.2,36,11,10,16,56,2,131,178,701,2.06,0,10,3,2,1,0,0,0
50,fa,28,116,669373,Tarik Skubal,15,0.85,96.0,70,22,22,12,117,6,288,365,1370,2.06,0,0,0,8,2,15,1,1
51,fa,37,111,458677,Justin Wilson,32,1.38,26.0,24,9,6,12,32,0,78,111,443,2.08,0,11,3,2,0,0,0,0
52,fa,27,114,683769,Hunter Gaddis,33,1.35,30.1,28,8,7,13,38,3,91,129,514,2.08,0,17,1,0,1,0,0,0
53,fa,25,118,702070,Noah Cameron,8,0.97,47.2,31,11,11,15,34,4,143,185,689,2.08,0,0,0,2,3,8,0,0
54,fa,31,121,621242,Edwin Díaz,30,0.96,30.1,17,8,7,12,45,2,91,120,497,2.08,15,0,1,3,0,0,0,0
55,fa,28,141,663893,Brendon Little,36,1.25,34.1,23,13,8,20,52,1,103,144,635,2.1,0,14,2,3,1,0,0,0
56,fa,27,118,663460,Kris Bubic,14,1.12,85.0,68,22,20,27,88,3,255,343,1301,2.12,0,0,0,6,4,14,0,0
57,fa,27,142,686973,Louis Varland,36,0.95,33.2,25,9,8,7,38,3,101,133,492,2.14,0,12,1,2,3,0,0,0
58,fa,32,118,608032,Carlos Estévez,33,1.1,33.2,23,10,8,14,28,2,101,139,518,2.14,22,0,3,2,2,0,0,0
59,fa,31,139,664126,Pete Fairbanks,30,1.16,29.1,20,9,7,14,26,0,88,124,511,2.15,13,0,2,3,1,0,0,0
60,fa,34,140,571948,Hoby Milner,35,0.98,37.2,28,12,9,9,34,0,113,148,587,2.15,0,10,2,1,1,0,0,0
61,fa,32,145,656186,Dan Altavilla,11,1.14,12.1,9,4,3,5,8,3,37,49,177,2.19,1,0,0,0,1,0,0,0
62,fa,29,143,624133,Ranger Suárez,9,1.06,57.1,47,15,14,14,52,3,172,229,847,2.2,0,0,0,6,1,9,0,0
63,fa,26,111,676979,Garrett Crochet,16,1.03,102.1,77,28,25,28,125,9,307,406,1596,2.2,0,0,0,7,4,16,0,0
64,fa,24,111,692285,Luis Guerrero,11,0.98,16.1,5,4,4,11,9,0,49,62,244,2.2,0,0,0,0,0,0,0,0
65,fa,38,112,573204,Caleb Thielbar,33,1.01,28.2,18,7,7,11,26,1,86,112,440,2.2,1,7,2,2,2,0,0,0
66,fa,30,118,668674,Lucas Erceg,29,1.01,28.2,23,8,7,6,22,2,86,111,447,2.2,1,14,2,2,2,0,0,0
67,fa,26,135,670970,Adrian Morejon,36,0.87,32.1,22,13,8,6,31,1,97,129,464,2.23,1,9,2,4,3,0,0,0
68,fa,37,140,594798,Jacob deGrom,15,0.92,88.1,63,22,22,18,87,9,265,339,1273,2.24,0,0,0,7,2,15,0,0
69,fa,28,158,683232,Nick Mears,34,0.69,32.0,18,9,8,4,27,2,96,115,470,2.25,0,9,4,1,1,0,0,0
70,fa,26,116,695445,Chase Lee,20,0.92,24.0,15,6,6,7,23,2,72,91,378,2.25,0,3,0,3,0,0,0,0
