top100_rank,upid,name,FBP_Team,manager,contract_type,org,position,age,level,fypd,debuted
1,7612,Konnor Griffin,LFB,La Flama Blanca,Blue Chip Contract,PIT,"SS,CF",19,,False,False
2,6591,Kevin McGonigle,WIZ,Whiz Kids,Blue Chip Contract,DET,SS,21,,False,False
3,7607,Jesus Made,WAR,Weekend Warriors,Development Cont.,MIL,"2B,3B,SS",18,,False,False
4,7173,Leodalis De Vries,WIZ,Whiz Kids,Blue Chip Contract,SD,SS,19,,False,False
5,7619,JJ Wetherholt,DMN,The Damn Yankees,Blue Chip Contract,STL,"2B,3B,SS",23,,False,False
6,6911,Nolan McLean,SAD,not much of a donkey,Blue Chip Contract,NYM,SP,24,,False,True
7,6141,Sebastian Walcott,RV,Rick Vaughn,Blue Chip Contract,TEX,"3B,SS",19,,False,False
8,4593,Samuel Basallo,SAD,not much of a donkey,Blue Chip Contract,BAL,C,21,,False,True
9,6595,Colt Emerson,CFL,Country Fried Lamb,Blue Chip Contract,SEA,SS,20,,False,False
10,6566,Max Clark,B2J,Btwn2Jackies,Blue Chip Contract,DET,CF,21,,False,False
11,3779,Bubba Chandler,RV,Rick Vaughn,Purchased Contract,PIT,SP,23,,False,True
12,7670,Trey Yesavage,WAR,Weekend Warriors,Blue Chip Contract,TOR,SP,22,,False,True
13,7944,Eli Willits,HAM,Hammers,Blue Chip Contract,WSH,SS,18,,True,False
14,6568,Walker Jenkins,DMN,The Damn Yankees,Blue Chip Contract,MIN,OF,20,,False,False
15,3661,Josue De Paula,RV,Rick Vaughn,Blue Chip Contract,LAD,OF,20,,False,False
16,7591,Carson Benge,RV,Rick Vaughn,Purchased Contract,NYM,OF,23,,False,False
17,6581,Thomas White,B2J,Btwn2Jackies,Blue Chip Contract,MIA,SP,21,,False,False
18,2237,Carter Jensen,CFL,Country Fried Lamb,Purchased Contract,KC,C,22,,False,True
19,7658,Payton Tolle,CFL,Country Fried Lamb,Development Cont.,BOS,"SP,RP",23,MLB,False,True
20,7677,Travis Bazzana,CFL,Country Fried Lamb,Blue Chip Contract,CLE,2B,23,,False,False
21,7941,Kade Anderson,WAR,Weekend Warriors,Blue Chip Contract,SEA,SP,21,,True,False
22,3951,Sal Stewart,SAD,not much of a donkey,Purchased Contract,CIN,1B,22,,False,True
23,6578,Aidan Miller,WIZ,Whiz Kids,Blue Chip Contract,PHI,SS,21,,False,False
24,7940,Ethan Holliday,RV,Rick Vaughn,Blue Chip Contract,COL,SS,18,,True,False
25,6599,Bryce Eldridge,JEP,Jepordizers!,Blue Chip Contract,SF,1B,21,,False,True
26,7608,Luis Pena,WAR,Weekend Warriors,Development Cont.,MIL,"2B,3B,SS",19,,False,False
27,7635,Zyhir Hope,DRO,Andromedans,Blue Chip Contract,LAD,OF,21,,False,False
28,3484,Andrew Painter,WAR,Weekend Warriors,Blue Chip Contract,PHI,SP,22,,False,False
29,7942,Seth Hernandez,CFL,Country Fried Lamb,Blue Chip Contract,PIT,SP,19,,True,False
30,6564,Eduardo Quintero,SAD,not much of a donkey,Development Cont.,LAD,OF,20,,False,False
31,7130,Franklin Arias,WAR,Weekend Warriors,Development Cont.,BOS,SS,20,,False,False
32,6604,George Lombard Jr.,TBB,The Bluke Blokes,Development Cont.,NYY,"2B,3B,SS",20,,False,False
33,7710,Ryan Sloan,CFL,Country Fried Lamb,Development Cont.,SEA,SP,20,,False,False
34,7947,Liam Doyle,JEP,Jepordizers!,Blue Chip Contract,STL,SP,21,,True,False
35,7681,Bryce Rainer,CFL,Country Fried Lamb,Blue Chip Contract,DET,SS,20,,False,False
36,7657,Braden Montgomery,HAM,Hammers,Purchased Contract,CWS,OF,22,,False,False
37,7622,Rainiel Rodriguez,B2J,Btwn2Jackies,Development Cont.,STL,C,19,,False,False
