player_id,name,team,position,Games Played,Games Played,Games Started,Batting Average,On-base Percentage,Slugging Percentage,At Bats,Runs,Hits,Singles,Doubles,Triples,Home Runs,Runs Batted In,Sacrifice Hits,Sacrifice Flys,Stolen Bases,Caught Stealing,Walks,Intentional Walks,Hit By Pitch,Strikeouts,Ground Into Double Play,Total Bases,Pitching Appearances,Games Started (Pitching),Earned Run Average,(Walks + Hits)/ Innings Pitched,Wins,Losses,Complete Games,Shutouts,Saves,Outs,Hits Allowed,Total Batters Faced,Runs Allowed,Earned Runs,Home Runs Allowed,Walks Issued,Intentional Walks Issued,Hit Batters,Strikeouts (Pitching),Wild Pitches,Balks,Stolen Bases Allowed,Batters Grounded Into Double Plays,Save Chances,Holds,Total Bases Allowed,Innings Pitched,Putouts,Assists,Errors,Fielding Percentage,On-base + Slugging Percentage,Strikeouts per Walk Ratio,Strikeouts per Nine Innings,Team,League,Hits / At Bats,Extra Base Hits,Net Stolen Bases,Stolen Base Percentage,Hitting for the Cycle,Plate Appearances,Grand Slam Home Runs,Pitch Count,Doubles Allowed,Triples Allowed,Relief Wins,Relief Losses,Pickoffs,Relief Appearances,On-base Percentage Against,Winning Percentage,Singles Allowed,Hits Per Nine Innings,Walks Per Nine Innings,No Hitters,Perfect Games,Save Percentage,Inherited Runners Scored,Quality Starts,Blown Saves,Net Saves,Outfield Assists,Double Plays Turned,Catcher Interference,Saves + Holds,Net Saves and Holds,Net Wins
,,,,,,,,,,709,27,5,.993,.636,,,-,-,,16,0,-,0,264,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
12435,Yainer Diaz,Houston Astros,C,148,148,146,.299,.325,.441,585,70,175,127,29,3,16,84,0,8,2,0,24,1,2,107,22,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,41,5,.995,.766,,,-,-,,48,2,1.000,0,619,0,,,,,,,,,,,,,,,,,,,,0,13,0,,,
11662,Jonah Heim,Texas Rangers,C,131,131,121,.220,.267,.336,459,45,101,75,12,1,13,59,0,2,1,1,26,0,4,90,13,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,967,37,7,.993,.603,,,-,-,,26,0,.500,0,491,0,,,,,,,,,,,,,,,,,,,,0,5,0,,,
10899,Keibert Ruiz,Washington Nationals,C,127,127,118,.229,.260,.359,459,46,105,71,21,0,13,57,0,5,3,1,16,0,5,54,13,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,39,2,.998,.619,,,-,-,,34,2,.750,0,485,0,,,,,,,,,,,,,,,,,,,,0,8,0,,,
12011,Logan O'Hoppe,Los Angeles Angels,C,136,136,127,.244,.303,.409,479,64,117,79,17,1,20,56,1,1,2,3,33,0,8,155,7,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,41,6,.994,.712,,,-,-,,38,-1,.400,0,522,1,,,,,,,,,,,,,,,,,,,,0,0,0,,,
10789,Mitch Garver,Seattle Mariners,C,114,114,104,.172,.286,.341,367,37,63,31,17,0,15,51,0,3,0,0,53,0,7,133,9,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,9,0,1.000,.627,,,-,-,,32,0,-,0,430,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
11296,Bo Naylor,Cleveland Guardians,C,123,123,105,.201,.264,.350,354,39,71,46,10,2,13,39,2,2,6,3,29,1,2,122,3,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,36,6,.994,.614,,,-,-,,25,3,.667,0,389,1,,,,,,,,,,,,,,,,,,,,0,3,0,,,
9718,J.T. Realmuto,Philadelphia Phillies,C,99,99,99,.266,.322,.429,380,50,101,68,18,1,14,47,0,1,2,2,27,1,5,102,7,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,34,5,.995,.751,,,-,-,,33,0,.500,0,413,0,,,,,,,,,,,,,,,,,,,,0,5,0,,,
11527,Luis Campusano,San Diego Padres,C,91,91,74,.227,.281,.361,277,37,63,42,13,0,8,40,0,1,0,0,20,0,1,41,11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,24,3,.996,.642,,,-,-,,21,0,-,0,299,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
11794,Ryan Jeffers,Minnesota Twins,C,122,122,106,.226,.300,.432,412,56,93,50,22,0,21,64,1,6,3,0,32,0,14,94,9,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,31,6,.992,.732,,,-,-,,43,3,1.000,0,465,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
9096,Travis d'Arnaud,Los Angeles Angels,C,99,99,79,.238,.302,.436,307,40,73,42,16,0,15,48,0,4,1,0,24,0,6,89,8,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,25,3,.996,.738,,,-,-,,31,1,1.000,0,341,1,,,,,,,,,,,,,,,,,,,,0,3,0,,,
