player_id,name,team,position,stat_0,stat_1,stat_2,stat_3,stat_4,stat_5,stat_6,stat_7,stat_8,stat_9,stat_10,stat_11,stat_12,stat_13,stat_14,stat_15,stat_16,stat_17,stat_18,stat_19,stat_20,stat_21,stat_22,stat_23,stat_24,stat_25,stat_26,stat_27,stat_28,stat_29,stat_30,stat_31,stat_32,stat_33,stat_34,stat_35,stat_36,stat_37,stat_38,stat_39,stat_40,stat_41,stat_42,stat_43,stat_44,stat_45,stat_46,stat_47,stat_48,stat_49,stat_50,stat_51,stat_52,stat_53,stat_54,stat_55,stat_56,stat_57,stat_58,stat_59,stat_60,stat_61,stat_62,stat_63,stat_64,stat_65,stat_66,stat_67,stat_68,stat_69,stat_70,stat_71,stat_72,stat_73,stat_74,stat_75,stat_76,stat_77,stat_78,stat_79,stat_80,stat_81,stat_82,stat_83,stat_84,stat_85,stat_86,stat_87,stat_88,stat_89,stat_90,stat_91,stat_92,stat_93,stat_94,stat_95,stat_96,stat_97,stat_98,stat_99
7590,Justin Verlander,San Francisco Giants,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
7977,Andrew McCutchen,Pittsburgh Pirates,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8180,Clayton Kershaw,Los Angeles Dodgers,"SP, P, NA",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8193,Max Scherzer,Toronto Blue Jays,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8270,Charlie Morton,Baltimore Orioles,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8287,David Robertson,Texas Rangers,"RP, P, NA",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8616,Aroldis Chapman,Boston Red Sox,"RP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8619,Carlos Santana,Cleveland Guardians,"1B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8634,Giancarlo Stanton,New York Yankees,"OF, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8652,Martín Pérez,Chicago White Sox,"SP, P",,,,,,,,,,,,,,,,,,,,,,,,,-,,-,,,,,,,,,,,-,-,,,,-,,,,,,,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,-,,,,,-,,,,,,,,,,,,,,,,
8658,Freddie Freeman,Los Angeles Dodgers,"1B, Util",,,,-,,,,-,-,,,,-,-,,,-,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
